"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Transfer Different Parner Reference Supervisor, Manual Transfer to Transfer","6983","trfPartnerRefManualSpvFailed","Surefire suite","Fri Jul 17 02:43:50 UTC 2026","passed","Fri Jul 17 02:43:57 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualSpvFailed"
"Transfer Different Partner Reference, Manual Transfer to USDT Transfer","7898","trfPartnerRefManualFailed","Surefire suite","Fri Jul 17 02:54:40 UTC 2026","passed","Fri Jul 17 02:54:48 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefManualFailed"
"Transfer Different Parner Reference Supervisor, Special Transfer to Transfer","6706","trfPartnerRefSpecialSpvFailed","Surefire suite","Fri Jul 17 02:44:10 UTC 2026","passed","Fri Jul 17 02:44:16 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialSpvFailed"
"Transfer Different Partner Reference, USDT Transfer to Transfer","7478","trfPartnerRefUSDTFailed","Surefire suite","Fri Jul 17 02:48:24 UTC 2026","passed","Fri Jul 17 02:48:32 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefUSDTFailed"
"Mutasi Manual Transfer Balance","17490","mutasiManualTransferBalance","Surefire suite","Fri Jul 17 03:11:27 UTC 2026","failed","Fri Jul 17 03:11:45 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalance"
"Normal Special Transfer Success","13001","transfer","Surefire suite","Fri Jul 17 02:46:32 UTC 2026","passed","Fri Jul 17 02:46:45 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transfer"
"Success Login Supervisor With Captcha","3721","testLoginSupervisor","Surefire suite","Fri Jul 17 02:29:59 UTC 2026","passed","Fri Jul 17 02:30:02 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Wrong Password Login Merchant","3315","testLoginWrongPassword","Surefire suite","Fri Jul 17 02:30:12 UTC 2026","passed","Fri Jul 17 02:30:15 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"Normal Transfer with Account Supervisor","7667","transferSupervisor","Surefire suite","Fri Jul 17 02:43:19 UTC 2026","passed","Fri Jul 17 02:43:27 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferSupervisor"
"","14900","historyFlopTransferTest","Surefire suite","Fri Jul 17 02:32:52 UTC 2026","passed","Fri Jul 17 02:33:07 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTest"
"Transfer Different Partner Reference, USDT Transfer to Transfer","7707","trfPartnerRefSpecialFailed","Surefire suite","Fri Jul 17 02:54:51 UTC 2026","passed","Fri Jul 17 02:54:59 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefSpecialFailed"
