"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Transfer Different Partner Reference, USDT Transfer to Manual Transfer","4777","trfPartnerRefUSDTFailed","Surefire suite","Thu Jul 09 07:28:49 UTC 2026","failed","Thu Jul 09 07:28:54 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefUSDTFailed"
"Success Login Backoffice","3312","testLoginBackoffice","Surefire suite","Thu Jul 09 07:09:37 UTC 2026","passed","Thu Jul 09 07:09:41 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginBackoffice"
"Success Login Merchant","3450","testLoginWithCaptcha","Surefire suite","Thu Jul 09 07:10:02 UTC 2026","passed","Thu Jul 09 07:10:06 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWithCaptcha"
"Test Approved Manual Transfer","21866","approvedCashDeposit","Surefire suite","Thu Jul 09 07:39:04 UTC 2026","passed","Thu Jul 09 07:39:26 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDeposit"
"Test Approved USDT Tanpa URL","17968","approvedUSDT","Surefire suite","Thu Jul 09 07:40:54 UTC 2026","passed","Thu Jul 09 07:41:12 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDT"
"Normal Manual Transfer Success with Account Supervisor","14423","manualTransferSupervisor","Surefire suite","Thu Jul 09 07:27:24 UTC 2026","passed","Thu Jul 09 07:27:38 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","manualTransferSupervisor"
"","11988","historySpecialTransferTestCS","Surefire suite","Thu Jul 09 07:13:42 UTC 2026","passed","Thu Jul 09 07:13:54 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestCS"
"","21443","historyManualTransferTestSupervisor","Surefire suite","Thu Jul 09 07:12:53 UTC 2026","passed","Thu Jul 09 07:13:15 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestSupervisor"
"Success Login Admin Crypto","3358","testLoginAdminCrypto","Surefire suite","Thu Jul 09 07:09:31 UTC 2026","passed","Thu Jul 09 07:09:34 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdminCrypto"
"Transfer with Wrong Pin","7166","transferWrongPin","Surefire suite","Thu Jul 09 07:28:07 UTC 2026","passed","Thu Jul 09 07:28:14 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","transferWrongPin"
"Wrong Password Login Merchant","3211","testLoginWrongPassword","Surefire suite","Thu Jul 09 07:10:09 UTC 2026","passed","Thu Jul 09 07:10:12 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"","7341","listCashDeposit","Surefire suite","Thu Jul 09 07:44:15 UTC 2026","passed","Thu Jul 09 07:44:22 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listCashDeposit"
"Normal Manual Transfer Success","23025","transfer","Surefire suite","Thu Jul 09 07:27:41 UTC 2026","passed","Thu Jul 09 07:28:04 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","transfer"
"Special Transfer Success with before and after Balance","26846","specialTransferSupervisor","Surefire suite","Thu Jul 09 07:23:52 UTC 2026","passed","Thu Jul 09 07:24:19 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","specialTransferSupervisor"
"","9697","transfer","Surefire suite","Thu Jul 09 07:30:34 UTC 2026","passed","Thu Jul 09 07:30:44 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transfer"
"","10564","historyQRTest","Surefire suite","Thu Jul 09 07:10:49 UTC 2026","passed","Thu Jul 09 07:10:59 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTest"
"","24856","historyTransferTest","Surefire suite","Thu Jul 09 07:14:21 UTC 2026","passed","Thu Jul 09 07:14:46 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferTest"
"Success Assignment Cash Deposit","28554","assignCashDepositTest","Surefire suite","Thu Jul 09 07:45:21 UTC 2026","passed","Thu Jul 09 07:45:49 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignCashDepositTest"
