"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get History Special Transfer Test CS","11010","historySpecialTransferTestCS","Surefire suite","Thu Sep 03 10:39:04 UTC 2026","passed","Thu Sep 03 10:39:15 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestCS"
"Get Detail User Backoffice Menggunakan Login Merchant","4694","getUsersWithMerchantLogin","Surefire suite","Thu Sep 03 12:04:55 UTC 2026","passed","Thu Sep 03 12:04:59 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","getUsersWithMerchantLogin"
"Get List Google Authenticator Menggunakan Login CS Admin","5946","listOtpGoogleWithCSAdminLogin","Surefire suite","Thu Sep 03 12:53:16 UTC 2026","passed","Thu Sep 03 12:53:22 UTC 2026","testcases.backoffice.googleauth.ListOtpGoogleTest","Surefire test","testcases.backoffice.googleauth.ListOtpGoogleTest","listOtpGoogleWithCSAdminLogin"
"Mutasi Transfer","8151","mutasiTransfer","Surefire suite","Thu Sep 03 11:41:22 UTC 2026","passed","Thu Sep 03 11:41:30 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransfer"
"Resend Google Authenticator Menggunakan Login Merchant","4678","resendOtpGoogleWithMerchantLogin","Surefire suite","Thu Sep 03 13:00:47 UTC 2026","passed","Thu Sep 03 13:00:51 UTC 2026","testcases.backoffice.googleauth.ResendOtpGoogleTest","Surefire test","testcases.backoffice.googleauth.ResendOtpGoogleTest","resendOtpGoogleWithMerchantLogin"
"Get History Special Transfer Test Fee Admin","11148","historySpecialTransferTestFeeAdmin","Surefire suite","Thu Sep 03 10:39:18 UTC 2026","passed","Thu Sep 03 10:39:29 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestFeeAdmin"
"Get List Group Company BO Menggunakan HTTP Method DELETE","4505","getListGroupCompanyWithDeleteMethod","Surefire suite","Thu Sep 03 12:41:46 UTC 2026","failed","Thu Sep 03 12:41:50 UTC 2026","testcases.backoffice.settlement.GetListGroupCompanyTest","Surefire test","testcases.backoffice.settlement.GetListGroupCompanyTest","getListGroupCompanyWithDeleteMethod"
"Get History Flop Transfer Test CS","11624","historyFlopTransferTestCS","Surefire suite","Thu Sep 03 10:35:40 UTC 2026","passed","Thu Sep 03 10:35:52 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestCS"
"Get List Google Authenticator Dengan Ukuran Halaman Sangat Besar","4764","listOtpGoogleWithHugeSize","Surefire suite","Thu Sep 03 12:54:03 UTC 2026","passed","Thu Sep 03 12:54:08 UTC 2026","testcases.backoffice.googleauth.ListOtpGoogleTest","Surefire test","testcases.backoffice.googleauth.ListOtpGoogleTest","listOtpGoogleWithHugeSize"
"Test Rejected Special Transfer","14376","rejectedSpecialTransfer","Surefire suite","Thu Sep 03 11:25:59 UTC 2026","passed","Thu Sep 03 11:26:13 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransfer"
