"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Mutasi USDT Transfer Balance","32226","mutasiUSDTTransferBalance","Surefire suite","Tue Jul 28 03:55:11 UTC 2026","passed","Tue Jul 28 03:55:43 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalance"
"","4919","getBalanceMarketing","Surefire suite","Tue Jul 28 03:22:54 UTC 2026","passed","Tue Jul 28 03:22:59 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMarketing"
"Transfer Different Partner Reference, USDT Transfer to Transfer","7858","trfPartnerRefSpecialFailed","Surefire suite","Tue Jul 28 03:17:01 UTC 2026","passed","Tue Jul 28 03:17:09 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefSpecialFailed"
"Test Approved USDT Supervisor Tanpa URL","17719","approvedUSDTSupervisorWithoutURL","Surefire suite","Tue Jul 28 03:32:32 UTC 2026","passed","Tue Jul 28 03:32:49 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisorWithoutURL"
"Mutasi Manual Transfer Balance","33335","mutasiManualTransferBalanceSupervisor","Surefire suite","Tue Jul 28 03:42:46 UTC 2026","passed","Tue Jul 28 03:43:20 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceSupervisor"
"Mutasi USDT Transfer Balance CS","32532","mutasiUSDTTransferBalanceCS","Surefire suite","Tue Jul 28 03:55:46 UTC 2026","passed","Tue Jul 28 03:56:19 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalanceCS"
"","12316","transferBalance","Surefire suite","Tue Jul 28 03:16:25 UTC 2026","passed","Tue Jul 28 03:16:37 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transferBalance"
"","4930","listSettlement","Surefire suite","Tue Jul 28 03:38:03 UTC 2026","passed","Tue Jul 28 03:38:08 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listSettlement"
"Test Rejected Manual Transfer Supervisor","18605","rejectedCashDepositSupervisor","Surefire suite","Tue Jul 28 03:33:35 UTC 2026","passed","Tue Jul 28 03:33:54 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDepositSupervisor"
"Success Login Admin Crypto","3858","testLoginAdminCrypto","Surefire suite","Tue Jul 28 02:50:56 UTC 2026","passed","Tue Jul 28 02:51:00 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdminCrypto"
"Test Rejected Special Transfer","13237","rejectedSpecialTransfer","Surefire suite","Tue Jul 28 03:33:57 UTC 2026","passed","Tue Jul 28 03:34:10 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransfer"
"Mutasi Transfer CS","12433","mutasiTransferCS","Surefire suite","Tue Jul 28 03:53:25 UTC 2026","passed","Tue Jul 28 03:53:38 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferCS"
"","8108","historyUSDTTransferTest","Surefire suite","Tue Jul 28 03:01:04 UTC 2026","passed","Tue Jul 28 03:01:12 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTest"
"","6654","transfer","Surefire suite","Tue Jul 28 03:19:13 UTC 2026","failed","Tue Jul 28 03:19:19 UTC 2026","testcases.transfer.TransferFlopTest","Surefire test","testcases.transfer.TransferFlopTest","transfer"
"Transfer with Wrong Pin","7015","transferWrongPin","Surefire suite","Tue Jul 28 03:08:47 UTC 2026","passed","Tue Jul 28 03:08:54 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transferWrongPin"
"Normal Transfer Success","11540","transfer","Surefire suite","Tue Jul 28 03:05:00 UTC 2026","passed","Tue Jul 28 03:05:12 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transfer"
