"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"List Refund Dengan Page/Size Negatif - Menemukan Bug Internal Server Error","4729","listRefundWithNegativePageSize","Surefire suite","Thu Aug 27 20:26:25 UTC 2026","passed","Thu Aug 27 20:26:29 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithNegativePageSize"
"Request Refund Transfer Supervisor","4803","refundTransferSupervisor","Surefire suite","Thu Aug 27 20:22:57 UTC 2026","passed","Thu Aug 27 20:23:02 UTC 2026","testcases.transfer.RefundTransferTest","Surefire test","testcases.transfer.RefundTransferTest","refundTransferSupervisor"
"Transfer Different Partner Reference, Special Transfer to Manual Transfer","7769","trfPartnerRefManualFailed","Surefire suite","Thu Aug 27 19:33:13 UTC 2026","failed","Thu Aug 27 19:33:21 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefManualFailed"
"Mutasi Transfer CS","7656","mutasiTransferCS","Surefire suite","Thu Aug 27 20:06:19 UTC 2026","failed","Thu Aug 27 20:06:26 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferCS"
"Test Approved Manual Transfer","7612","rejectedCashDeposit","Surefire suite","Thu Aug 27 19:54:13 UTC 2026","failed","Thu Aug 27 19:54:21 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDeposit"
"List User Backoffice Menggunakan Login CS Admin","4467","listUsersWithCSAdminLogin","Surefire suite","Thu Aug 27 20:29:23 UTC 2026","passed","Thu Aug 27 20:29:27 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","listUsersWithCSAdminLogin"
"Reset Pin Customer Service","4796","resetPinCS","Surefire suite","Thu Aug 27 20:39:06 UTC 2026","passed","Thu Aug 27 20:39:11 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinCS"
"Transfer Different Partner Reference, USDT Transfer to Manual Transfer","7603","trfPartnerRefUSDTFailed","Surefire suite","Thu Aug 27 19:33:34 UTC 2026","failed","Thu Aug 27 19:33:42 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefUSDTFailed"
"Transfer with Wrong Pin","7701","transferWrongPin","Surefire suite","Thu Aug 27 19:29:30 UTC 2026","skipped","Thu Aug 27 19:29:38 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transferWrongPin"
"Inquiry Test USDT Transfer Merchant Supervisor","4789","inquiryUSDTSupervisor","Surefire suite","Thu Aug 27 19:34:48 UTC 2026","passed","Thu Aug 27 19:34:53 UTC 2026","testcases.transfer.InquiryUSDTTest","Surefire test","testcases.transfer.InquiryUSDTTest","inquiryUSDTSupervisor"
"List Refund Menggunakan Login CS Admin","4665","listRefundWithCSAdminLogin","Surefire suite","Thu Aug 27 20:25:03 UTC 2026","passed","Thu Aug 27 20:25:08 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithCSAdminLogin"
"List User Backoffice Dengan Body Kosong ({})","4705","listUsersWithEmptyBody","Surefire suite","Thu Aug 27 20:29:30 UTC 2026","passed","Thu Aug 27 20:29:35 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","listUsersWithEmptyBody"
"Get History Manual Transfer Supervisor on Login CS Admin","7681","historyManualTransferSupervisorTestCSAdmin","Surefire suite","Thu Aug 27 19:14:47 UTC 2026","failed","Thu Aug 27 19:14:55 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferSupervisorTestCSAdmin"
"List User Backoffice Menggunakan Login Marketing","4587","listUsersWithMarketingLogin","Surefire suite","Thu Aug 27 20:30:14 UTC 2026","passed","Thu Aug 27 20:30:18 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","listUsersWithMarketingLogin"
"Get Balance Marketing","4775","getBalanceMarketing","Surefire suite","Thu Aug 27 19:43:57 UTC 2026","passed","Thu Aug 27 19:44:02 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMarketing"
"Get Balance Merchant with Login Admin","7720","getBalanceAdmin","Surefire suite","Thu Aug 27 19:43:31 UTC 2026","passed","Thu Aug 27 19:43:39 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceAdmin"
"Mutasi USDT Transfer Balance","30792","mutasiUSDTTransferBalance","Surefire suite","Thu Aug 27 20:07:45 UTC 2026","passed","Thu Aug 27 20:08:16 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalance"
"Success Login Customer Service","3102","testLoginCS","Surefire suite","Thu Aug 27 19:07:42 UTC 2026","passed","Thu Aug 27 19:07:45 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginCS"
"","7498","listCashDeposit","Surefire suite","Thu Aug 27 19:58:21 UTC 2026","passed","Thu Aug 27 19:58:29 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listCashDeposit"
"Reset Password Customer Service","4766","resetPasswordCS","Surefire suite","Thu Aug 27 20:36:39 UTC 2026","passed","Thu Aug 27 20:36:44 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordCS"
"Get History USDT Transfer Test Supervisor","7705","historyUSDTTransferTestSupervisor","Surefire suite","Thu Aug 27 19:20:23 UTC 2026","passed","Thu Aug 27 19:20:31 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestSupervisor"
"Add Merchant From Backoffice","7769","addCompanyBackoffice","Surefire suite","Thu Aug 27 20:14:48 UTC 2026","passed","Thu Aug 27 20:14:56 UTC 2026","testcases.backoffice.AddCompanyTest","Surefire test","testcases.backoffice.AddCompanyTest","addCompanyBackoffice"
"Get History Special Transfer Test Fee Admin","7693","historySpecialTransferTestFeeAdmin","Surefire suite","Thu Aug 27 19:17:15 UTC 2026","skipped","Thu Aug 27 19:17:23 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestFeeAdmin"
"Get Detail User Backoffice Tanpa User Id (Path Kosong) - Menemukan Bug Bad Gateway","5163","getUsersWithEmptyId","Surefire suite","Thu Aug 27 20:28:27 UTC 2026","passed","Thu Aug 27 20:28:33 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","getUsersWithEmptyId"
"Get History Transfer Test Supervisor","7741","historyTransferTestSupervisor","Surefire suite","Thu Aug 27 19:18:41 UTC 2026","failed","Thu Aug 27 19:18:49 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferTestSupervisor"
