"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Mutasi USDT Transfer Supervisor","26666","mutasiUSDTTransferSupervisor","Surefire suite","Mon Aug 03 04:33:16 UTC 2026","passed","Mon Aug 03 04:33:43 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferSupervisor"
"Test Approved Special Transfer","83818","approvedSpecialTransfer","Surefire suite","Mon Aug 03 03:57:51 UTC 2026","broken","Mon Aug 03 03:59:15 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedSpecialTransfer"
"Test Get Report Transaction CS","7656","getReportTransactionCS","Surefire suite","Mon Aug 03 04:34:37 UTC 2026","passed","Mon Aug 03 04:34:45 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportTransactionCS"
"Mutasi Transfer Balance","21558","mutasiTransferBalance","Surefire suite","Mon Aug 03 04:27:35 UTC 2026","passed","Mon Aug 03 04:27:56 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalance"
"Mutasi Special Transfer Balance Supervisor","38446","mutasiSpecialTransferBalanceSupervisor","Surefire suite","Mon Aug 03 04:21:28 UTC 2026","passed","Mon Aug 03 04:22:06 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalanceSupervisor"
"Test Approved USDT","18324","approvedUSDT","Surefire suite","Mon Aug 03 04:02:58 UTC 2026","passed","Mon Aug 03 04:03:17 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDT"
"Get History Special Transfer Test CS","11109","historySpecialTransferTestCS","Surefire suite","Mon Aug 03 03:18:41 UTC 2026","passed","Mon Aug 03 03:18:52 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestCS"
"Mutasi Manual Transfer Balance","45726","mutasiManualTransferBalance","Surefire suite","Mon Aug 03 04:13:28 UTC 2026","passed","Mon Aug 03 04:14:14 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalance"
"Mutasi Transfer CS","22716","mutasiTransferCS","Surefire suite","Mon Aug 03 04:28:27 UTC 2026","passed","Mon Aug 03 04:28:50 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferCS"
"Get History QR Supervisor Success Paid","10957","historyQRTestPaidSupervisor","Surefire suite","Mon Aug 03 02:56:25 UTC 2026","passed","Mon Aug 03 02:56:36 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaidSupervisor"
"Success Assignment USDT","13110","assignUSDTTest","Surefire suite","Mon Aug 03 04:11:54 UTC 2026","passed","Mon Aug 03 04:12:08 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTTest"
"Get History Manual Transfer Test CS","11543","historyManualTransferTestCS","Surefire suite","Mon Aug 03 03:15:10 UTC 2026","passed","Mon Aug 03 03:15:22 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestCS"
"Mutasi Transfer Supervisor","19983","mutasiTransferSupervisor","Surefire suite","Mon Aug 03 04:28:53 UTC 2026","passed","Mon Aug 03 04:29:13 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisor"
