"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","GarudaPay API","0","Authentication","10","0","Login","0"
"8","GarudaPay API","4","Mutasi","18","0","Transfer","0"
"0","GarudaPay API","0","Transfer","7","0","USDT Transfer","0"
"5","GarudaPay API","0","Backoffice","14","0","Approval Test","0"
"0","GarudaPay API","0","Backoffice","3","0","List Settlement USDT","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry Manual Transfer","0"
"1","GarudaPay API","0","Transaction","7","0","QRIS","0"
"0","GarudaPay API","2","Balance","2","0","Get Balance QRIS","0"
"0","GarudaPay API","0","History","6","0","Qris","0"
"0","GarudaPay API","2","History","15","1","Transfer","0"
"0","GarudaPay API","3","Transfer","7","0","Transfer","0"
"0","GarudaPay API","0","Backoffice","4","0","Assignment Test","0"
"0","GarudaPay API","0","Transfer","6","0","Special Transfer","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry Transfer","0"
"0","GarudaPay API","2","Balance","1","0","Get Balance Transfer","0"
"0","GarudaPay API","0","Transfer","6","0","Manual Transfer","0"
"0","GarudaPay API","0","Transfer","2","0","Flop Transfer","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry USDT","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry Special Transfer","0"
