"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5119","generateQRCodeClosed","Surefire suite","Thu Jul 23 08:37:09 UTC 2026","passed","Thu Jul 23 08:37:14 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCodeClosed"
"","8990","historyManualTransferTestSupervisor","Surefire suite","Thu Jul 23 08:31:25 UTC 2026","passed","Thu Jul 23 08:31:34 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestSupervisor"
"","4847","listSettlement","Surefire suite","Thu Jul 23 09:08:44 UTC 2026","passed","Thu Jul 23 09:08:49 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listSettlement"
"Special Transfer Success with before and after Balance","14380","specialTransferSupervisor","Surefire suite","Thu Jul 23 08:42:48 UTC 2026","passed","Thu Jul 23 08:43:02 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","specialTransferSupervisor"
"","5072","getBalanceAdminCrypto","Surefire suite","Thu Jul 23 08:59:27 UTC 2026","passed","Thu Jul 23 08:59:32 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceAdminCrypto"
"","7572","inquiryUSDT","Surefire suite","Thu Jul 23 08:50:13 UTC 2026","passed","Thu Jul 23 08:50:21 UTC 2026","testcases.transfer.InquiryUSDTTest","Surefire test","testcases.transfer.InquiryUSDTTest","inquiryUSDT"
"","9316","historyFlopTransferTestSupervisor","Surefire suite","Thu Jul 23 08:29:30 UTC 2026","passed","Thu Jul 23 08:29:39 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestSupervisor"
"Success Login Marketing","3173","testLoginMarketing","Surefire suite","Thu Jul 23 08:26:00 UTC 2026","passed","Thu Jul 23 08:26:03 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Mutasi USDT Transfer Balance","31416","mutasiUSDTTransferBalanceSupervisor","Surefire suite","Thu Jul 23 09:19:02 UTC 2026","passed","Thu Jul 23 09:19:33 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalanceSupervisor"
"Transfer with Wrong Pin","7453","transferWrongPin","Surefire suite","Thu Jul 23 08:40:05 UTC 2026","passed","Thu Jul 23 08:40:12 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferWrongPin"
"Mutasi Transfer","9474","mutasiTransfer","Surefire suite","Thu Jul 23 09:17:03 UTC 2026","passed","Thu Jul 23 09:17:13 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransfer"
"","12054","historySpecialTransferTestCS","Surefire suite","Thu Jul 23 08:33:06 UTC 2026","passed","Thu Jul 23 08:33:18 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestCS"
"Mutasi Manual Transfer Balance","33271","mutasiManualTransferBalance","Surefire suite","Thu Jul 23 09:11:53 UTC 2026","passed","Thu Jul 23 09:12:27 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalance"
"Generate QR Success paid","6303","paidQR","Surefire suite","Thu Jul 23 08:56:35 UTC 2026","passed","Thu Jul 23 08:56:42 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","paidQR"
"","11083","historyUSDTTransferTestAdmin","Surefire suite","Thu Jul 23 08:35:29 UTC 2026","passed","Thu Jul 23 08:35:40 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestAdmin"
"","9032","historySpecialTransferTest","Surefire suite","Thu Jul 23 08:31:37 UTC 2026","passed","Thu Jul 23 08:31:46 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTest"
"Wrong Password Login Merchant","3001","testLoginWrongPassword","Surefire suite","Thu Jul 23 08:26:19 UTC 2026","passed","Thu Jul 23 08:26:22 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"Transfer Different Partner Reference, Manual Transfer to Transfer","6797","trfPartnerRefManualFailed","Surefire suite","Thu Jul 23 08:40:15 UTC 2026","passed","Thu Jul 23 08:40:22 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualFailed"
"Transfer Different Partner Reference, Transfer to USDT Transfer","7465","trfPartnerRefTransferFailed","Surefire suite","Thu Jul 23 08:52:14 UTC 2026","passed","Thu Jul 23 08:52:21 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefTransferFailed"
"Mutasi USDT Transfer Supervisor","26801","mutasiUSDTTransferSupervisor","Surefire suite","Thu Jul 23 09:19:36 UTC 2026","passed","Thu Jul 23 09:20:03 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferSupervisor"
"Test Rejected Special Transfer Supervisor","11698","rejectedSpecialTransferSupervisor","Surefire suite","Thu Jul 23 09:06:19 UTC 2026","passed","Thu Jul 23 09:06:31 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransferSupervisor"
"Normal Transfer with Account Supervisor","8122","transferSupervisor","Surefire suite","Thu Jul 23 08:39:54 UTC 2026","passed","Thu Jul 23 08:40:02 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferSupervisor"
"Test Approved Manual Transfer","15903","approvedCashDeposit","Surefire suite","Thu Jul 23 09:00:37 UTC 2026","failed","Thu Jul 23 09:00:53 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDeposit"
"","4793","generateQRCodeFailed","Surefire suite","Thu Jul 23 08:37:17 UTC 2026","passed","Thu Jul 23 08:37:22 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCodeFailed"
"","4771","listSpecialTransfer","Surefire suite","Thu Jul 23 09:08:52 UTC 2026","passed","Thu Jul 23 09:08:57 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listSpecialTransfer"
"Mutasi Special Transfer Balance","28530","mutasiSpecialTransferBalance","Surefire suite","Thu Jul 23 09:14:51 UTC 2026","passed","Thu Jul 23 09:15:20 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalance"
"","8652","historyManualTransferTest","Surefire suite","Thu Jul 23 08:29:42 UTC 2026","passed","Thu Jul 23 08:29:51 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTest"
"Normal Manual Transfer Success","11047","transfer","Surefire suite","Thu Jul 23 08:47:09 UTC 2026","passed","Thu Jul 23 08:47:20 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","transfer"
"Mutasi Transfer Supervisor","9075","mutasiTransferSupervisor","Surefire suite","Thu Jul 23 09:17:30 UTC 2026","passed","Thu Jul 23 09:17:39 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisor"
"Test Approved USDT Supervisor","17652","approvedUSDTSupervisor","Surefire suite","Thu Jul 23 09:04:45 UTC 2026","passed","Thu Jul 23 09:05:02 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisor"
"Success Login Merchant","3124","testLoginWithCaptcha","Surefire suite","Thu Jul 23 08:26:13 UTC 2026","passed","Thu Jul 23 08:26:16 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWithCaptcha"
