"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Transfer Different Partner Reference, Manual Transfer to USDT Transfer","20177","trfPartnerRefManualFailed","Surefire suite","Wed Aug 19 06:57:40 UTC 2026","passed","Wed Aug 19 06:58:00 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefManualFailed"
"Get History Flop Transfer Test Supervisor","8772","historyFlopTransferTestSupervisor","Surefire suite","Wed Aug 19 06:33:42 UTC 2026","passed","Wed Aug 19 06:33:51 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestSupervisor"
"Normal Transfer Success","6868","transferAdminCrypto","Surefire suite","Wed Aug 19 06:43:20 UTC 2026","passed","Wed Aug 19 06:43:27 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferAdminCrypto"
"Success Login Admin","6042","testLoginAdmin","Surefire suite","Wed Aug 19 06:27:45 UTC 2026","passed","Wed Aug 19 06:27:51 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdmin"
"Mutasi Transfer","8518","mutasiTransfer","Surefire suite","Wed Aug 19 07:30:13 UTC 2026","passed","Wed Aug 19 07:30:21 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransfer"
"Inquiry Test Flop Transfer Merchant","5595","inquiryTransfer","Surefire suite","Wed Aug 19 07:00:46 UTC 2026","passed","Wed Aug 19 07:00:52 UTC 2026","testcases.transfer.InquiryFlopTransferTest","Surefire test","testcases.transfer.InquiryFlopTransferTest","inquiryTransfer"
"Add Currency USDT Cs Admin","7444","addCurrencyCsAdmin","Surefire suite","Wed Aug 19 07:41:33 UTC 2026","passed","Wed Aug 19 07:41:40 UTC 2026","testcases.backoffice.AddCurrencyTest","Surefire test","testcases.backoffice.AddCurrencyTest","addCurrencyCsAdmin"
"Test Reject USDT Supervisor","17588","rejectedUSDTSupervisor","Surefire suite","Wed Aug 19 07:16:03 UTC 2026","passed","Wed Aug 19 07:16:21 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedUSDTSupervisor"
"Get Balance Merchant with Login Admin Crypto","4815","getBalanceAdminLoginAdminCrypto","Surefire suite","Wed Aug 19 07:05:47 UTC 2026","passed","Wed Aug 19 07:05:52 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceAdminLoginAdminCrypto"
"Normal Flop Supervisor Transfer Success","7448","flopTransferSupervisor","Surefire suite","Wed Aug 19 07:02:00 UTC 2026","passed","Wed Aug 19 07:02:07 UTC 2026","testcases.transfer.TransferFlopTest","Surefire test","testcases.transfer.TransferFlopTest","flopTransferSupervisor"
"Test Approved Manual Transfer","17877","rejectedCashDeposit","Surefire suite","Wed Aug 19 07:14:32 UTC 2026","passed","Wed Aug 19 07:14:49 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDeposit"
"Generate QR Success with Fee Admin","33190","generateQRBalanceFeeAdmin","Surefire suite","Wed Aug 19 07:03:08 UTC 2026","passed","Wed Aug 19 07:03:41 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeAdmin"
"Approval Refund Special Transfer Merchant","9808","approveRefundSpecialTransferMerchant","Surefire suite","Wed Aug 19 07:44:17 UTC 2026","passed","Wed Aug 19 07:44:26 UTC 2026","testcases.backoffice.ApprovalRefundTest","Surefire test","testcases.backoffice.ApprovalRefundTest","approveRefundSpecialTransferMerchant"
"","4895","generateQRCodeFailed","Surefire suite","Wed Aug 19 06:41:09 UTC 2026","passed","Wed Aug 19 06:41:14 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCodeFailed"
"Reset Pin Backoffice","4816","resetPinBackoffice","Surefire suite","Wed Aug 19 07:51:49 UTC 2026","passed","Wed Aug 19 07:51:54 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinBackoffice"
"Mutasi Transfer Supervisor","8469","mutasiTransferSupervisor","Surefire suite","Wed Aug 19 07:31:08 UTC 2026","passed","Wed Aug 19 07:31:16 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisor"
"Reset Pin Marketing","5011","resetPinMarketing","Surefire suite","Wed Aug 19 07:52:19 UTC 2026","passed","Wed Aug 19 07:52:24 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinMarketing"
"Test Approved USDT Supervisor","17705","approvedUSDTSupervisor","Surefire suite","Wed Aug 19 07:13:00 UTC 2026","passed","Wed Aug 19 07:13:17 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisor"
"Mutasi Transfer Balance","10339","mutasiTransferBalance","Surefire suite","Wed Aug 19 07:30:24 UTC 2026","passed","Wed Aug 19 07:30:34 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalance"
"Mutasi Special Transfer Supervisor CS","21399","mutasiSpecialTransferSupervisorCS","Surefire suite","Wed Aug 19 07:29:48 UTC 2026","passed","Wed Aug 19 07:30:10 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferSupervisorCS"
"Get History Special Transfer Merchant on Login CS Admin","11323","historySpecialTransferMerchantTestCSAdmin","Surefire suite","Wed Aug 19 06:35:27 UTC 2026","passed","Wed Aug 19 06:35:39 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferMerchantTestCSAdmin"
"Mutasi Special Transfer CS","21042","mutasiSpecialTransferCS","Surefire suite","Wed Aug 19 07:29:00 UTC 2026","passed","Wed Aug 19 07:29:21 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferCS"
"Mutasi USDT Transfer Balance","31676","mutasiUSDTTransferBalanceSupervisor","Surefire suite","Wed Aug 19 07:33:42 UTC 2026","passed","Wed Aug 19 07:34:14 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalanceSupervisor"
"Transfer Different Parner Reference Supervisor, Special Transfer to Transfer","20722","trfPartnerRefSpecialSpvFailed","Surefire suite","Wed Aug 19 06:45:30 UTC 2026","passed","Wed Aug 19 06:45:51 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialSpvFailed"
"","8523","listRefundAdmin","Surefire suite","Wed Aug 19 07:47:41 UTC 2026","passed","Wed Aug 19 07:47:50 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundAdmin"
"Reset Pin CS Admin","5342","resetPinCSAdmin","Surefire suite","Wed Aug 19 07:52:05 UTC 2026","passed","Wed Aug 19 07:52:10 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinCSAdmin"
"Get History QR Supervisor Success Paid","11067","historyQRTestPaidSupervisor","Surefire suite","Wed Aug 19 06:31:17 UTC 2026","passed","Wed Aug 19 06:31:28 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaidSupervisor"
"Success Assignment Cash Deposit","13063","assignCashDepositTest","Surefire suite","Wed Aug 19 07:20:24 UTC 2026","passed","Wed Aug 19 07:20:37 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignCashDepositTest"
"Reset Pin Admin Crypto","4815","resetPinAdminCrypto","Surefire suite","Wed Aug 19 07:51:41 UTC 2026","passed","Wed Aug 19 07:51:46 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinAdminCrypto"
"Inquiry Test Transfer Admin Crypto","4904","inquiryTransferAdminCrypto","Surefire suite","Wed Aug 19 06:42:11 UTC 2026","passed","Wed Aug 19 06:42:16 UTC 2026","testcases.transfer.InquiryTransferTest","Surefire test","testcases.transfer.InquiryTransferTest","inquiryTransferAdminCrypto"
"Test Approved USDT Supervisor Tanpa URL","32659","approvedUSDTSupervisorWithoutURL","Surefire suite","Wed Aug 19 07:13:21 UTC 2026","passed","Wed Aug 19 07:13:53 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisorWithoutURL"
"Success Assignment USDT","13141","assignUSDTTest","Surefire suite","Wed Aug 19 07:20:56 UTC 2026","passed","Wed Aug 19 07:21:09 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTTest"
"Get History USDT Transfer Test CS","11407","historyUSDTTransferTestAdmin","Surefire suite","Wed Aug 19 06:39:01 UTC 2026","passed","Wed Aug 19 06:39:12 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestAdmin"
"Mutasi Transfer CS","11397","mutasiTransferCS","Surefire suite","Wed Aug 19 07:30:54 UTC 2026","passed","Wed Aug 19 07:31:05 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferCS"
"Test Get Report RRN Dispute","4917","getReportRRNAdmin","Surefire suite","Wed Aug 19 07:36:45 UTC 2026","passed","Wed Aug 19 07:36:49 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportRRNAdmin"
"Get History USDT Transfer Merchant on Login CS Admin","11175","historyUSDTTransferMerchantTestCSAdmin","Surefire suite","Wed Aug 19 06:38:21 UTC 2026","passed","Wed Aug 19 06:38:33 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferMerchantTestCSAdmin"
"Normal Transfer Success","10537","transfer","Surefire suite","Wed Aug 19 06:43:07 UTC 2026","passed","Wed Aug 19 06:43:17 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transfer"
"Request Refund Special Transfer Merchant","4922","refundSpecialTransferMerchant","Surefire suite","Wed Aug 19 07:45:56 UTC 2026","passed","Wed Aug 19 07:46:01 UTC 2026","testcases.transfer.RefundTransferTest","Surefire test","testcases.transfer.RefundTransferTest","refundSpecialTransferMerchant"
"Reset Password Merchant","5017","resetPasswordMerchant","Surefire suite","Wed Aug 19 07:49:52 UTC 2026","passed","Wed Aug 19 07:49:57 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordMerchant"
"Mutasi USDT Transfer Balance","31004","mutasiUSDTTransferBalance","Surefire suite","Wed Aug 19 07:32:33 UTC 2026","passed","Wed Aug 19 07:33:04 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalance"
"Get History USDT Transfer Test Admin","11485","historyUSDTTransferTestFeeAdmin","Surefire suite","Wed Aug 19 06:39:30 UTC 2026","passed","Wed Aug 19 06:39:41 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestFeeAdmin"
"Mutasi Manual Transfer Balance","31527","mutasiManualTransferBalanceSupervisor","Surefire suite","Wed Aug 19 07:24:02 UTC 2026","passed","Wed Aug 19 07:24:33 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceSupervisor"
"Reset Password CS Admin","5465","resetPasswordCSAdmin","Surefire suite","Wed Aug 19 07:49:29 UTC 2026","passed","Wed Aug 19 07:49:35 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordCSAdmin"
"Test Get Report Transaction CS","4854","getReportTransactionCS","Surefire suite","Wed Aug 19 07:37:00 UTC 2026","passed","Wed Aug 19 07:37:05 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportTransactionCS"
"Success Login Supervisor With Captcha","3164","testLoginSupervisor","Surefire suite","Wed Aug 19 06:28:31 UTC 2026","passed","Wed Aug 19 06:28:34 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Test Approve Special Transfer dengan check Fee di Admin Fee","25271","approvedSpecialTransferBalance","Surefire suite","Wed Aug 19 07:11:28 UTC 2026","passed","Wed Aug 19 07:11:53 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedSpecialTransferBalance"
