"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Mutasi Manual Transfer Balance","31916","mutasiManualTransferBalanceSupervisor","Surefire suite","Thu Aug 27 12:13:03 UTC 2026","passed","Thu Aug 27 12:13:35 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceSupervisor"
"Inquiry Test Special Transfer Merchant","8037","inquirySpecialTransfer","Surefire suite","Thu Aug 27 11:35:32 UTC 2026","passed","Thu Aug 27 11:35:40 UTC 2026","testcases.transfer.InquirySpecialTransferTest","Surefire test","testcases.transfer.InquirySpecialTransferTest","inquirySpecialTransfer"
"Transfer with Wrong Pin","24119","transferWrongPin","Surefire suite","Thu Aug 27 11:31:55 UTC 2026","passed","Thu Aug 27 11:32:19 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferWrongPin"
"Test Approved Manual Transfer Supervisor","17821","approvedCashDepositSupervisor","Surefire suite","Thu Aug 27 11:59:24 UTC 2026","passed","Thu Aug 27 11:59:42 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositSupervisor"
"Normal Transfer USDT Success Admin Crypto","6441","usdtTransferAdminCrypto","Surefire suite","Thu Aug 27 11:48:11 UTC 2026","passed","Thu Aug 27 11:48:17 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","usdtTransferAdminCrypto"
"Transfer Different Partner Reference, Transfer to Manual Transfer","20406","trfPartnerRefTransferFailed","Surefire suite","Thu Aug 27 11:43:09 UTC 2026","passed","Thu Aug 27 11:43:29 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefTransferFailed"
"Get History Flop Transfer Test Admin","12190","historyFlopTransferTestAdmin","Surefire suite","Thu Aug 27 11:20:59 UTC 2026","failed","Thu Aug 27 11:21:11 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestAdmin"
"Approval Refund Special Transfer Merchant","13203","approveRefundManualTransferMerchant","Surefire suite","Thu Aug 27 12:33:10 UTC 2026","failed","Thu Aug 27 12:33:23 UTC 2026","testcases.backoffice.ApprovalRefundTest","Surefire test","testcases.backoffice.ApprovalRefundTest","approveRefundManualTransferMerchant"
"Get History Transfer Test","8768","historyTransferTest","Surefire suite","Thu Aug 27 11:25:19 UTC 2026","failed","Thu Aug 27 11:25:28 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferTest"
"Add Merchant From CS Admin","5253","addCompanyCsAdmin","Surefire suite","Thu Aug 27 12:27:52 UTC 2026","passed","Thu Aug 27 12:27:57 UTC 2026","testcases.backoffice.AddCompanyTest","Surefire test","testcases.backoffice.AddCompanyTest","addCompanyCsAdmin"
"Mutasi USDT Transfer Balance","30828","mutasiUSDTTransferBalance","Surefire suite","Thu Aug 27 12:21:33 UTC 2026","passed","Thu Aug 27 12:22:04 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalance"
"","8683","generateOpenQRCode","Surefire suite","Thu Aug 27 11:28:33 UTC 2026","failed","Thu Aug 27 11:28:42 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateOpenQRCode"
"Get History QR Admin","5033","historyQRTestAdmin","Surefire suite","Thu Aug 27 11:18:27 UTC 2026","failed","Thu Aug 27 11:18:32 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestAdmin"
"Reset Pin Admin Crypto","5120","resetPinAdminCrypto","Surefire suite","Thu Aug 27 12:40:58 UTC 2026","passed","Thu Aug 27 12:41:03 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinAdminCrypto"
"","12317","getCompanyDetail","Surefire suite","Thu Aug 27 12:31:58 UTC 2026","passed","Thu Aug 27 12:32:10 UTC 2026","testcases.backoffice.CheckCompanyDetailTest","Surefire test","testcases.backoffice.CheckCompanyDetailTest","getCompanyDetail"
"Get History Flop Transfer Test","9051","historyFlopTransferTest","Surefire suite","Thu Aug 27 11:20:47 UTC 2026","failed","Thu Aug 27 11:20:56 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTest"
"Mutasi Transfer","8487","mutasiTransfer","Surefire suite","Thu Aug 27 12:19:12 UTC 2026","passed","Thu Aug 27 12:19:21 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransfer"
"Reset Pin Group","3084","resetPinGroup","Surefire suite","Thu Aug 27 12:41:30 UTC 2026","failed","Thu Aug 27 12:41:33 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinGroup"
"Get History Manual Transfer Test","8349","historyManualTransferTest","Surefire suite","Thu Aug 27 11:22:09 UTC 2026","failed","Thu Aug 27 11:22:17 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTest"
"Success Assignment USDT Supervisor","12662","assignUSDTSupervisorTest","Surefire suite","Thu Aug 27 12:09:34 UTC 2026","passed","Thu Aug 27 12:09:46 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTSupervisorTest"
