"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9084","historyTransferTestSupervisor","Surefire suite","Thu Jul 16 02:31:49 UTC 2026","passed","Thu Jul 16 02:31:58 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferTestSupervisor"
"","9699","historyQRTestCS","Surefire suite","Thu Jul 16 02:25:29 UTC 2026","passed","Thu Jul 16 02:25:39 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestCS"
"Test Approved USDT Tanpa URL","18333","approvedUSDTwithoutURL","Surefire suite","Thu Jul 16 02:58:16 UTC 2026","failed","Thu Jul 16 02:58:35 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTwithoutURL"
"Success Login Marketing","3171","testLoginMarketing","Surefire suite","Thu Jul 16 02:24:10 UTC 2026","passed","Thu Jul 16 02:24:13 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Test Approve Manual Transfer dengan check Fee di Admin Crypto dan Admin Fee","44327","approvedCashDepositBalance","Surefire suite","Thu Jul 16 02:56:50 UTC 2026","passed","Thu Jul 16 02:57:34 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositBalance"
"Normal Manual Transfer Success","12589","transfer","Surefire suite","Thu Jul 16 02:43:57 UTC 2026","passed","Thu Jul 16 02:44:10 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","transfer"
"","8875","transfer","Surefire suite","Thu Jul 16 02:50:44 UTC 2026","passed","Thu Jul 16 02:50:53 UTC 2026","testcases.transfer.TransferFlopTest","Surefire test","testcases.transfer.TransferFlopTest","transfer"
"Transfer Different Partner Reference, Special Transfer to Transfer","7505","trfPartnerRefSpecialFailed","Surefire suite","Thu Jul 16 02:36:39 UTC 2026","passed","Thu Jul 16 02:36:47 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialFailed"
"","5447","getBalanceMerchant","Surefire suite","Thu Jul 16 02:55:34 UTC 2026","passed","Thu Jul 16 02:55:39 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceMerchant"
"","13699","historyFlopTransferTestCS","Surefire suite","Thu Jul 16 02:27:30 UTC 2026","passed","Thu Jul 16 02:27:43 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestCS"
"Normal Manual Transfer Success with Account Supervisor","13907","manualTransferSupervisor","Surefire suite","Thu Jul 16 02:43:40 UTC 2026","passed","Thu Jul 16 02:43:54 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","manualTransferSupervisor"
"Generate QR Success with Fee Admin","31271","generateQRBalanceFeeAdmin","Surefire suite","Thu Jul 16 02:51:37 UTC 2026","passed","Thu Jul 16 02:52:08 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeAdmin"
"Test Approved Manual Transfer","21858","rejectedCashDeposit","Surefire suite","Thu Jul 16 02:58:38 UTC 2026","passed","Thu Jul 16 02:58:59 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDeposit"
"Transfer with Wrong Pin","7643","transferWrongPin","Surefire suite","Thu Jul 16 02:40:24 UTC 2026","passed","Thu Jul 16 02:40:32 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transferWrongPin"
"","9456","historyFlopTransferTestSupervisor","Surefire suite","Thu Jul 16 02:27:46 UTC 2026","passed","Thu Jul 16 02:27:56 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestSupervisor"
"","4829","getBalanceCompanyAdmin","Surefire suite","Thu Jul 16 02:54:06 UTC 2026","failed","Thu Jul 16 02:54:11 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceCompanyAdmin"
"Success Assignment USDT","13426","assignUSDTTest","Surefire suite","Thu Jul 16 03:02:49 UTC 2026","passed","Thu Jul 16 03:03:02 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTTest"
"Transfer Different Partner Reference, Manual Transfer to Transfer","69134","trfPartnerRefManualFailed","Surefire suite","Thu Jul 16 02:40:35 UTC 2026","passed","Thu Jul 16 02:41:44 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefManualFailed"
