"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login Merchant dengan Username Kosong","2885","testLoginEmptyUsername","Surefire suite","Mon Aug 24 08:03:44 UTC 2026","passed","Mon Aug 24 08:03:47 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginEmptyUsername"
"Transfer Different Parner Reference Supervisor, USDT Transfer to Transfer","20397","trfPartnerRefUSDTSpvFailed","Surefire suite","Mon Aug 24 08:23:51 UTC 2026","passed","Mon Aug 24 08:24:12 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefUSDTSpvFailed"
"Mutasi Transfer","8487","mutasiTransfer","Surefire suite","Mon Aug 24 09:10:17 UTC 2026","passed","Mon Aug 24 09:10:26 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransfer"
"Normal Transfer Success","10930","transfer","Surefire suite","Mon Aug 24 08:20:28 UTC 2026","passed","Mon Aug 24 08:20:39 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transfer"
"Test Get Report Transfer Merchant","5315","getReportMutationAdmin","Surefire suite","Mon Aug 24 09:16:49 UTC 2026","passed","Mon Aug 24 09:16:54 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportMutationAdmin"
"Get History QR Success Paid","7927","historyQRTestPaid","Surefire suite","Mon Aug 24 08:06:54 UTC 2026","passed","Mon Aug 24 08:07:02 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaid"
"Login Backoffice dengan Username Tidak Terdaftar","3191","testLoginBackofficeNonExistentUsername","Surefire suite","Mon Aug 24 08:03:04 UTC 2026","passed","Mon Aug 24 08:03:07 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginBackofficeNonExistentUsername"
"Transfer Different Partner Reference, Transfer to Special Transfer","20827","trfPartnerRefTransferFailed","Surefire suite","Mon Aug 24 08:27:58 UTC 2026","passed","Mon Aug 24 08:28:19 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefTransferFailed"
"Reset Password Customer Service","4854","resetPasswordCS","Surefire suite","Mon Aug 24 09:31:45 UTC 2026","passed","Mon Aug 24 09:31:49 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordCS"
"Login Merchant dengan Username Tidak Terdaftar","2862","testLoginNonExistentUsername","Surefire suite","Mon Aug 24 08:04:20 UTC 2026","passed","Mon Aug 24 08:04:23 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginNonExistentUsername"
"Wrong Password Login Merchant","3141","testLoginWrongPassword","Surefire suite","Mon Aug 24 08:05:03 UTC 2026","passed","Mon Aug 24 08:05:06 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"Login Merchant dengan Username Berisi Spasi Saja","2854","testLoginWhitespaceUsername","Surefire suite","Mon Aug 24 08:04:45 UTC 2026","passed","Mon Aug 24 08:04:48 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWhitespaceUsername"
