"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Rejected Manual Transfer Supervisor","4787","rejectedCashDepositSupervisor","Surefire suite","Fri Jul 24 11:12:39 UTC 2026","failed","Fri Jul 24 11:12:44 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDepositSupervisor"
"Normal Special Transfer Success","10754","transfer","Surefire suite","Fri Jul 24 10:51:46 UTC 2026","passed","Fri Jul 24 10:51:56 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transfer"
"Generate QR Success with Fee Admin","32000","generateQRBalanceFeeAdmin","Surefire suite","Fri Jul 24 11:03:09 UTC 2026","passed","Fri Jul 24 11:03:41 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeAdmin"
"","7930","getBalanceAdmin","Surefire suite","Fri Jul 24 11:07:35 UTC 2026","passed","Fri Jul 24 11:07:43 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceAdmin"
"Test Approve Manual Transfer Supervisor dengan check Fee di Admin Crypto dan Admin Fee","43231","approvedCashDepositBalanceSupervisor","Surefire suite","Fri Jul 24 11:09:55 UTC 2026","passed","Fri Jul 24 11:10:38 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositBalanceSupervisor"
"Transfer Different Partner Reference, Manual Transfer to USDT Transfer","7437","trfPartnerRefManualFailed","Surefire suite","Fri Jul 24 10:59:46 UTC 2026","passed","Fri Jul 24 10:59:53 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefManualFailed"
"","7900","historyUSDTTransferTestSupervisor","Surefire suite","Fri Jul 24 10:44:52 UTC 2026","passed","Fri Jul 24 10:45:00 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestSupervisor"
"","5026","getBalanceMerchant","Surefire suite","Fri Jul 24 11:07:54 UTC 2026","passed","Fri Jul 24 11:07:59 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceMerchant"
"Mutasi Special Transfer Balance Supervisor","10030","mutasiSpecialTransferBalanceSupervisor","Surefire suite","Fri Jul 24 11:18:52 UTC 2026","failed","Fri Jul 24 11:19:02 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalanceSupervisor"
"","5099","generateQRCodeClosed","Surefire suite","Fri Jul 24 10:46:07 UTC 2026","passed","Fri Jul 24 10:46:12 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCodeClosed"
"Test Rejected Special Transfer Supervisor","4708","rejectedSpecialTransferSupervisor","Surefire suite","Fri Jul 24 11:12:55 UTC 2026","failed","Fri Jul 24 11:13:00 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransferSupervisor"
"Generate QR Success with before and after Balance","12000","generateQRTestPaidBalance","Surefire suite","Fri Jul 24 11:04:17 UTC 2026","passed","Fri Jul 24 11:04:29 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRTestPaidBalance"
"Get Balance Merchant with Login Marketing","4746","getFailedBalanceMerchantLoginMarketing","Surefire suite","Fri Jul 24 11:06:44 UTC 2026","passed","Fri Jul 24 11:06:49 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginMarketing"
"Mutasi Transfer Supervisor Balance","10991","mutasiTransferSupervisorBalance","Surefire suite","Fri Jul 24 11:20:54 UTC 2026","passed","Fri Jul 24 11:21:05 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisorBalance"
"Success Login Marketing","3230","testLoginMarketing","Surefire suite","Fri Jul 24 10:34:42 UTC 2026","passed","Fri Jul 24 10:34:46 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Mutasi Manual Transfer Supervisor","4796","mutasiManualTransferSupervisor","Surefire suite","Fri Jul 24 11:18:02 UTC 2026","failed","Fri Jul 24 11:18:07 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferSupervisor"
"","8407","inquirySpecialTransfer","Surefire suite","Fri Jul 24 10:50:39 UTC 2026","passed","Fri Jul 24 10:50:47 UTC 2026","testcases.transfer.InquirySpecialTransferTest","Surefire test","testcases.transfer.InquirySpecialTransferTest","inquirySpecialTransfer"
"Mutasi Manual Transfer Supervisor CS","4976","mutasiManualTransferSupervisorCS","Surefire suite","Fri Jul 24 11:18:10 UTC 2026","failed","Fri Jul 24 11:18:15 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferSupervisorCS"
"Mutasi Special Transfer CS","4662","mutasiSpecialTransferCS","Surefire suite","Fri Jul 24 11:19:18 UTC 2026","failed","Fri Jul 24 11:19:22 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferCS"
"Transfer with Wrong Pin","7673","transferWrongPin","Surefire suite","Fri Jul 24 10:55:49 UTC 2026","passed","Fri Jul 24 10:55:57 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","transferWrongPin"
"Transfer Different Parner Reference Supervisor, Special Transfer to Transfer","6720","trfPartnerRefSpecialSpvFailed","Surefire suite","Fri Jul 24 10:49:25 UTC 2026","passed","Fri Jul 24 10:49:32 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialSpvFailed"
"","73792","historySpecialTransferTestAdmin","Surefire suite","Fri Jul 24 10:40:44 UTC 2026","passed","Fri Jul 24 10:41:58 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestAdmin"
"","4762","listSpecialTransfer","Surefire suite","Fri Jul 24 11:14:32 UTC 2026","passed","Fri Jul 24 11:14:37 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listSpecialTransfer"
"","12728","historyTransferTestCS","Surefire suite","Fri Jul 24 10:43:44 UTC 2026","passed","Fri Jul 24 10:43:57 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferTestCS"
"","11022","historyQRTestPaidCS","Surefire suite","Fri Jul 24 10:36:26 UTC 2026","passed","Fri Jul 24 10:36:37 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaidCS"
"Test Settlement USDT dengan check Fee di Admin Crypto dan Admin Fee","6422","settlementUSDT","Surefire suite","Fri Jul 24 11:13:22 UTC 2026","failed","Fri Jul 24 11:13:28 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","settlementUSDT"
"Test Rejected Special Transfer","4751","rejectedSpecialTransfer","Surefire suite","Fri Jul 24 11:12:47 UTC 2026","failed","Fri Jul 24 11:12:52 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransfer"
"","5014","listSettlement","Surefire suite","Fri Jul 24 11:14:24 UTC 2026","passed","Fri Jul 24 11:14:29 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listSettlement"
"Transfer Different Partner Reference, Special Transfer to Manual Transfer","69530","trfPartnerRefManualFailed","Surefire suite","Fri Jul 24 10:56:00 UTC 2026","passed","Fri Jul 24 10:57:09 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefManualFailed"
"","6738","usdtTransferSupervisor","Surefire suite","Fri Jul 24 11:00:19 UTC 2026","passed","Fri Jul 24 11:00:25 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","usdtTransferSupervisor"
