"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Transfer Different Partner Reference, Transfer to Manual Transfer","20894","trfPartnerRefTransferFailed","Surefire suite","Tue Aug 18 10:45:02 UTC 2026","passed","Tue Aug 18 10:45:23 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefTransferFailed"
"Add Merchant From CS Admin","4979","addCompanyCsAdmin","Surefire suite","Tue Aug 18 11:28:39 UTC 2026","passed","Tue Aug 18 11:28:44 UTC 2026","testcases.backoffice.AddCompanyTest","Surefire test","testcases.backoffice.AddCompanyTest","addCompanyCsAdmin"
"Normal Transfer USDT Supervisor Success","6811","usdtTransferSupervisor","Surefire suite","Tue Aug 18 10:49:46 UTC 2026","passed","Tue Aug 18 10:49:53 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","usdtTransferSupervisor"
"Get History Manual Transfer Test","8380","historyManualTransferTest","Surefire suite","Tue Aug 18 10:25:59 UTC 2026","passed","Tue Aug 18 10:26:07 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTest"
"Test Reject USDT","17652","rejectedUSDT","Surefire suite","Tue Aug 18 11:05:15 UTC 2026","passed","Tue Aug 18 11:05:33 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedUSDT"
"Mutasi Manual Transfer Balance CS","31734","mutasiManualTransferBalanceCS","Surefire suite","Tue Aug 18 11:13:12 UTC 2026","passed","Tue Aug 18 11:13:43 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceCS"
"Approval Refund Transfer Merchant","9625","approveRefundTransferMerchant","Surefire suite","Tue Aug 18 11:34:14 UTC 2026","passed","Tue Aug 18 11:34:24 UTC 2026","testcases.backoffice.ApprovalRefundTest","Surefire test","testcases.backoffice.ApprovalRefundTest","approveRefundTransferMerchant"
"Transfer Different Partner Reference, Transfer to USDT Transfer","20571","trfPartnerRefTransferFailed","Surefire suite","Tue Aug 18 10:49:22 UTC 2026","passed","Tue Aug 18 10:49:43 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefTransferFailed"
"Inquiry Test Transfer Merchant","7402","inquiryTransfer","Surefire suite","Tue Aug 18 10:33:32 UTC 2026","passed","Tue Aug 18 10:33:40 UTC 2026","testcases.transfer.InquiryTransferTest","Surefire test","testcases.transfer.InquiryTransferTest","inquiryTransfer"
"Get History USDT Transfer Test CS","11508","historyUSDTTransferTestCS","Surefire suite","Tue Aug 18 10:30:57 UTC 2026","passed","Tue Aug 18 10:31:09 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestCS"
