"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Transfer Different Parner Reference Supervisor, USDT Transfer to Transfer","6253","trfPartnerRefUSDTSpvFailed","Surefire suite","Wed Jul 15 11:25:32 UTC 2026","passed","Wed Jul 15 11:25:39 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefUSDTSpvFailed"
"Normal Special Transfer Success","10935","transfer","Surefire suite","Wed Jul 15 11:27:41 UTC 2026","passed","Wed Jul 15 11:27:52 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transfer"
"Success Login Merchant","6020","testLoginAdmin","Surefire suite","Wed Jul 15 11:12:34 UTC 2026","passed","Wed Jul 15 11:12:40 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdmin"
"","8132","historyQRTestPaid","Surefire suite","Wed Jul 15 11:14:29 UTC 2026","passed","Wed Jul 15 11:14:37 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaid"
"Success Login Supervisor With Captcha","3253","testLoginSupervisor","Surefire suite","Wed Jul 15 11:13:10 UTC 2026","passed","Wed Jul 15 11:13:13 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Generate QR Success with before and after Balance","29077","generateQRBalanceFeeMarketing","Surefire suite","Wed Jul 15 11:40:01 UTC 2026","passed","Wed Jul 15 11:40:30 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeMarketing"
"","8479","historyManualTransferTest","Surefire suite","Wed Jul 15 11:16:17 UTC 2026","passed","Wed Jul 15 11:16:25 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTest"
"","70654","historySpecialTransferTestSupervisor","Surefire suite","Wed Jul 15 11:18:24 UTC 2026","passed","Wed Jul 15 11:19:35 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestSupervisor"
"Success Assignment USDT","13131","assignUSDTTest","Surefire suite","Wed Jul 15 11:50:09 UTC 2026","passed","Wed Jul 15 11:50:22 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTTest"
"","9405","generateOpenQRCode","Surefire suite","Wed Jul 15 11:21:45 UTC 2026","passed","Wed Jul 15 11:21:54 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateOpenQRCode"
