"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","GarudaPay API","18","History","0","0","Transfer","0"
"0","GarudaPay API","6","Transfer","0","0","Special Transfer","0"
"0","GarudaPay API","0","History","6","0","Qris","0"
"0","GarudaPay API","19","Backoffice","0","0","Approval Test","0"
"0","GarudaPay API","0","Transaction","8","0","QRIS","0"
"0","GarudaPay API","30","Mutasi","0","0","Transfer","0"
"0","GarudaPay API","1","Transfer","0","0","Inquiry USDT","0"
"0","GarudaPay API","1","Authentication","9","0","Login","0"
"0","GarudaPay API","2","Transfer","0","0","Flop Transfer","0"
"0","GarudaPay API","2","Backoffice","1","0","List Settlement USDT","0"
"0","GarudaPay API","0","Balance","10","0","Get Balance QRIS","0"
"0","GarudaPay API","7","Transfer","0","0","USDT Transfer","0"
"0","GarudaPay API","6","Transfer","0","0","Manual Transfer","0"
"0","GarudaPay API","1","Transfer","0","0","Inquiry Transfer","0"
"0","GarudaPay API","10","Transfer","0","0","Transfer","0"
"0","GarudaPay API","1","Transfer","0","0","Inquiry Manual Transfer","0"
"0","GarudaPay API","0","","3","0","","0"
"0","GarudaPay API","0","Balance","3","0","Get Balance Transfer","0"
"0","GarudaPay API","4","Backoffice","0","0","Assignment Test","0"
"0","GarudaPay API","1","Transfer","0","0","Inquiry Special Transfer","0"
"0","GarudaPay API","1","Transfer","0","0","Inquiry Flop","0"
