"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Get Report Transfer Merchant","5081","getReportMutationAdmin","Surefire suite","Wed Aug 19 09:16:17 UTC 2026","passed","Wed Aug 19 09:16:22 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportMutationAdmin"
"Request Refund Transfer CS","4739","refundTransferCS","Surefire suite","Wed Aug 19 09:25:56 UTC 2026","passed","Wed Aug 19 09:26:01 UTC 2026","testcases.transfer.RefundTransferTest","Surefire test","testcases.transfer.RefundTransferTest","refundTransferCS"
"Success Assignment USDT","13043","assignUSDTTest","Surefire suite","Wed Aug 19 09:00:12 UTC 2026","passed","Wed Aug 19 09:00:25 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTTest"
"Delete session Merchant on CS Admin","5532","deleteSessionCsAdmin","Surefire suite","Wed Aug 19 09:20:01 UTC 2026","passed","Wed Aug 19 09:20:07 UTC 2026","testcases.backoffice.EditUserTest","Surefire test","testcases.backoffice.EditUserTest","deleteSessionCsAdmin"
"Get Balance Merchant with Login CS","4890","getBalanceMerchantLoginCS","Surefire suite","Wed Aug 19 08:45:26 UTC 2026","passed","Wed Aug 19 08:45:31 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMerchantLoginCS"
"Reset Password Backoffice","5242","resetPasswordBackoffice","Surefire suite","Wed Aug 19 09:29:02 UTC 2026","passed","Wed Aug 19 09:29:07 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordBackoffice"
"Reset Pin Merchant","4768","resetPinMerchant","Surefire suite","Wed Aug 19 09:31:58 UTC 2026","passed","Wed Aug 19 09:32:02 UTC 2026","testcases.settings.ResetPinTest","Surefire test","testcases.settings.ResetPinTest","resetPinMerchant"
"Mutasi Special Transfer Supervisor CS","20654","mutasiSpecialTransferSupervisorCS","Surefire suite","Wed Aug 19 09:09:17 UTC 2026","passed","Wed Aug 19 09:09:38 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferSupervisorCS"
"Get History Special Transfer Merchant on Login CS Admin","11502","historySpecialTransferMerchantTestCSAdmin","Surefire suite","Wed Aug 19 08:13:55 UTC 2026","passed","Wed Aug 19 08:14:06 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferMerchantTestCSAdmin"
"Get History Flop Transfer Supervisor on Login CS Admin","11871","historyFlopTransferSupervisorTestCSAdmin","Surefire suite","Wed Aug 19 08:11:12 UTC 2026","passed","Wed Aug 19 08:11:24 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferSupervisorTestCSAdmin"
"Mutasi Transfer Balance CS","13288","mutasiTransferBalanceCS","Surefire suite","Wed Aug 19 09:10:06 UTC 2026","passed","Wed Aug 19 09:10:19 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalanceCS"
"Success Login Backoffice","3284","testLoginBackoffice","Surefire suite","Wed Aug 19 08:06:12 UTC 2026","passed","Wed Aug 19 08:06:15 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginBackoffice"
