"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login Merchant dengan Captcha Salah","3019","testLoginWrongCaptcha","Surefire suite","Mon Aug 31 09:40:17 UTC 2026","passed","Mon Aug 31 09:40:20 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongCaptcha"
"Transfer Different Partner Reference, Manual Transfer to Transfer","19726","trfPartnerRefManualFailed","Surefire suite","Mon Aug 31 09:57:18 UTC 2026","passed","Mon Aug 31 09:57:37 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualFailed"
"Get Balance Merchant","4986","getBalanceMerchant","Surefire suite","Mon Aug 31 10:20:17 UTC 2026","passed","Mon Aug 31 10:20:22 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMerchant"
"Mutasi Transfer CS","11155","mutasiTransferCS","Surefire suite","Mon Aug 31 10:48:54 UTC 2026","passed","Mon Aug 31 10:49:05 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferCS"
"List Company Backoffice Menggunakan Login Admin Crypto","4738","listCompanyWithAdminCryptoLogin","Surefire suite","Mon Aug 31 11:19:26 UTC 2026","passed","Mon Aug 31 11:19:31 UTC 2026","testcases.backoffice.ListCompanyTest","Surefire test","testcases.backoffice.ListCompanyTest","listCompanyWithAdminCryptoLogin"
"Get User Marketing Backoffice","4652","getUserSuperBO","Surefire suite","Mon Aug 31 10:24:53 UTC 2026","passed","Mon Aug 31 10:24:58 UTC 2026","testcases.backoffice.GetDashboardTest","Surefire test","testcases.backoffice.GetDashboardTest","getUserSuperBO"
"Success Login Merchant","3056","testLoginWithCaptcha","Surefire suite","Mon Aug 31 09:40:11 UTC 2026","passed","Mon Aug 31 09:40:14 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWithCaptcha"
"Transfer Different Parner Reference Supervisor, Manual Transfer to Transfer","20021","trfPartnerRefManualSpvFailed","Surefire suite","Mon Aug 31 09:57:40 UTC 2026","passed","Mon Aug 31 09:58:00 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualSpvFailed"
"Get Detail Waiting Company Backoffice Tanpa Login/Header Auth","1551","getDetailWaitingCompanyWithoutAuth","Surefire suite","Mon Aug 31 11:29:35 UTC 2026","passed","Mon Aug 31 11:29:36 UTC 2026","testcases.backoffice.GetDetailWaitingCompanyTest","Surefire test","testcases.backoffice.GetDetailWaitingCompanyTest","getDetailWaitingCompanyWithoutAuth"
"Get History USDT Transfer Supervisor on Login CS Admin","10933","historyUSDTTransferSupervisorTestCSAdmin","Surefire suite","Mon Aug 31 09:51:09 UTC 2026","passed","Mon Aug 31 09:51:20 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferSupervisorTestCSAdmin"
"List Waiting Company Backoffice Dengan Field Sort Merujuk ke Kolom yang Tidak Ada","4626","listWaitingCompanyWithInvalidSortField","Surefire suite","Mon Aug 31 11:24:15 UTC 2026","passed","Mon Aug 31 11:24:19 UTC 2026","testcases.backoffice.ListWaitingCompanyTest","Surefire test","testcases.backoffice.ListWaitingCompanyTest","listWaitingCompanyWithInvalidSortField"
"List Refund Dengan Body JSON Tidak Valid (Malformed)","4592","listRefundWithMalformedJson","Surefire suite","Mon Aug 31 11:08:56 UTC 2026","passed","Mon Aug 31 11:09:00 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithMalformedJson"
"Mutasi Manual Transfer Balance CS","30510","mutasiManualTransferBalanceCS","Surefire suite","Mon Aug 31 10:41:28 UTC 2026","passed","Mon Aug 31 10:41:59 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceCS"
"List Company Backoffice Menggunakan Login Marketing","4684","listCompanyWithMarketingLogin","Surefire suite","Mon Aug 31 11:20:45 UTC 2026","passed","Mon Aug 31 11:20:50 UTC 2026","testcases.backoffice.ListCompanyTest","Surefire test","testcases.backoffice.ListCompanyTest","listCompanyWithMarketingLogin"
"Test Approved USDT Supervisor","17384","approvedUSDTSupervisor","Surefire suite","Mon Aug 31 10:30:35 UTC 2026","passed","Mon Aug 31 10:30:53 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisor"
"Normal Transfer Success","11115","transfer","Surefire suite","Mon Aug 31 09:55:53 UTC 2026","passed","Mon Aug 31 09:56:04 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transfer"
"Mutasi USDT Transfer Balance CS","31433","mutasiUSDTTransferBalanceCS","Surefire suite","Mon Aug 31 10:51:06 UTC 2026","passed","Mon Aug 31 10:51:38 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalanceCS"
"List Company Backoffice Menggunakan Login Merchant","4616","listCompanyWithMerchantLogin","Surefire suite","Mon Aug 31 11:20:53 UTC 2026","passed","Mon Aug 31 11:20:57 UTC 2026","testcases.backoffice.ListCompanyTest","Surefire test","testcases.backoffice.ListCompanyTest","listCompanyWithMerchantLogin"
"Normal Transfer USDT Supervisor Success","6474","usdtTransferSupervisor","Surefire suite","Mon Aug 31 10:12:59 UTC 2026","passed","Mon Aug 31 10:13:06 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","usdtTransferSupervisor"
"List Refund Dengan Token Tidak Valid","1551","listRefundWithInvalidToken","Surefire suite","Mon Aug 31 11:08:51 UTC 2026","passed","Mon Aug 31 11:08:53 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithInvalidToken"
"List Company Backoffice Tanpa Body Sama Sekali","4520","listCompanyWithoutBody","Surefire suite","Mon Aug 31 11:21:35 UTC 2026","passed","Mon Aug 31 11:21:40 UTC 2026","testcases.backoffice.ListCompanyTest","Surefire test","testcases.backoffice.ListCompanyTest","listCompanyWithoutBody"
"Transfer Different Partner Reference, USDT Transfer to Transfer","20335","trfPartnerRefUSDTFailed","Surefire suite","Mon Aug 31 10:04:00 UTC 2026","passed","Mon Aug 31 10:04:20 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefUSDTFailed"
"Mutasi Special Transfer Balance CS","25489","mutasiSpecialTransferBalanceCS","Surefire suite","Mon Aug 31 10:45:29 UTC 2026","passed","Mon Aug 31 10:45:55 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalanceCS"
"Transfer Success with before and after Balanced","10148","transferBalance","Surefire suite","Mon Aug 31 09:56:17 UTC 2026","passed","Mon Aug 31 09:56:28 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferBalance"
"Success Login Marketing","3016","testLoginMarketing","Surefire suite","Mon Aug 31 09:39:15 UTC 2026","passed","Mon Aug 31 09:39:18 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Transfer with Wrong Pin","22009","transferWrongPin","Surefire suite","Mon Aug 31 10:02:49 UTC 2026","passed","Mon Aug 31 10:03:11 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transferWrongPin"
"Get Balance Company on Login Admin","4845","getBalanceCompanyAdmin","Surefire suite","Mon Aug 31 10:20:01 UTC 2026","passed","Mon Aug 31 10:20:06 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceCompanyAdmin"
"Test Rejected Manual Transfer Supervisor","17258","rejectedCashDepositSupervisor","Surefire suite","Mon Aug 31 10:32:24 UTC 2026","passed","Mon Aug 31 10:32:41 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDepositSupervisor"
"Login Merchant dengan Username Kosong","2940","testLoginEmptyUsername","Surefire suite","Mon Aug 31 09:39:03 UTC 2026","passed","Mon Aug 31 09:39:06 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginEmptyUsername"
"List User Backoffice Tanpa Body Sama Sekali","4520","listUsersWithoutBody","Surefire suite","Mon Aug 31 11:13:46 UTC 2026","passed","Mon Aug 31 11:13:51 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","listUsersWithoutBody"
"Get Group Detail Backoffice Menggunakan Login Group","4731","getGroupDetailWithGroupLogin","Surefire suite","Mon Aug 31 11:16:08 UTC 2026","passed","Mon Aug 31 11:16:12 UTC 2026","testcases.backoffice.GetGroupTest","Surefire test","testcases.backoffice.GetGroupTest","getGroupDetailWithGroupLogin"
"Get History Flop Transfer Merchant on Login CS Admin","15043","historyFlopTransferMerchantTestCSAdmin","Surefire suite","Mon Aug 31 09:44:09 UTC 2026","passed","Mon Aug 31 09:44:25 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferMerchantTestCSAdmin"
"Get Group Detail Backoffice Tanpa Group Id (Path Kosong)","4985","getGroupDetailWithEmptyId","Surefire suite","Mon Aug 31 11:15:47 UTC 2026","passed","Mon Aug 31 11:15:52 UTC 2026","testcases.backoffice.GetGroupTest","Surefire test","testcases.backoffice.GetGroupTest","getGroupDetailWithEmptyId"
"Test Approve Manual Transfer Supervisor dengan check Fee di Admin Crypto dan Admin Fee","40521","approvedCashDepositBalanceSupervisor","Surefire suite","Mon Aug 31 10:27:25 UTC 2026","passed","Mon Aug 31 10:28:05 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositBalanceSupervisor"
"Wrong Password Login Merchant","3049","testLoginWrongPassword","Surefire suite","Mon Aug 31 09:40:23 UTC 2026","passed","Mon Aug 31 09:40:26 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"Transfer Different Partner Reference, Special Transfer to Transfer","20019","trfPartnerRefSpecialFailed","Surefire suite","Mon Aug 31 09:58:03 UTC 2026","passed","Mon Aug 31 09:58:23 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialFailed"
