"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Generate QR Success with before and after Balance","12406","generateQRTestPaidBalance","Surefire suite","Mon Jul 13 03:53:43 UTC 2026","passed","Mon Jul 13 03:53:56 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRTestPaidBalance"
"","4838","listSettlement","Surefire suite","Mon Jul 13 04:03:26 UTC 2026","passed","Mon Jul 13 04:03:31 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listSettlement"
"Test Approve Manual Transfer dengan check Fee di Admin Crypto dan Admin Fee","41385","approvedCashDepositBalance","Surefire suite","Mon Jul 13 03:58:31 UTC 2026","passed","Mon Jul 13 03:59:13 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositBalance"
"Normal Special Transfer Success","10442","transfer","Surefire suite","Mon Jul 13 03:42:28 UTC 2026","passed","Mon Jul 13 03:42:38 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transfer"
"","10668","transferBalance","Surefire suite","Mon Jul 13 03:49:03 UTC 2026","passed","Mon Jul 13 03:49:14 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transferBalance"
"","8694","transfer","Surefire suite","Mon Jul 13 03:48:51 UTC 2026","passed","Mon Jul 13 03:49:00 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transfer"
"","7780","generateOpenQRCode","Surefire suite","Mon Jul 13 03:34:26 UTC 2026","passed","Mon Jul 13 03:34:34 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateOpenQRCode"
"Wrong Password Login Merchant","3185","testLoginWrongPassword","Surefire suite","Mon Jul 13 03:27:23 UTC 2026","passed","Mon Jul 13 03:27:26 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"","4923","getBalanceMerchant","Surefire suite","Mon Jul 13 03:55:17 UTC 2026","passed","Mon Jul 13 03:55:22 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMerchant"
"Transfer with Wrong Pin","18748","transferWrongPin","Surefire suite","Mon Jul 13 03:42:41 UTC 2026","passed","Mon Jul 13 03:43:00 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transferWrongPin"
