"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get History Manual Transfer Test Supervisor","7999","historyManualTransferTestSupervisor","Surefire suite","Wed Aug 26 05:56:05 UTC 2026","failed","Wed Aug 26 05:56:13 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestSupervisor"
"Reset Password Marketing","4855","resetPasswordMarketing","Surefire suite","Wed Aug 26 07:30:33 UTC 2026","passed","Wed Aug 26 07:30:38 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordMarketing"
"Normal Transfer with Account Supervisor","6899","transferSupervisor","Surefire suite","Wed Aug 26 06:05:42 UTC 2026","passed","Wed Aug 26 06:05:49 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferSupervisor"
"List Refund Menggunakan Login Merchant","4516","listRefundWithMerchantLogin","Surefire suite","Wed Aug 26 07:23:58 UTC 2026","passed","Wed Aug 26 07:24:03 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithMerchantLogin"
"List User Backoffice Dengan Body Kosong ({})","4657","listUsersWithEmptyBody","Surefire suite","Wed Aug 26 07:27:02 UTC 2026","passed","Wed Aug 26 07:27:06 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","listUsersWithEmptyBody"
"Reset Password Admin","7883","resetPasswordAdmin","Surefire suite","Wed Aug 26 07:29:41 UTC 2026","passed","Wed Aug 26 07:29:49 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordAdmin"
"Mutasi Transfer","8202","mutasiTransfer","Surefire suite","Wed Aug 26 07:02:48 UTC 2026","passed","Wed Aug 26 07:02:56 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransfer"
"Get History QR CS","10146","historyQRTestCS","Surefire suite","Wed Aug 26 05:50:52 UTC 2026","passed","Wed Aug 26 05:51:02 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestCS"
"Success Login Supervisor With Captcha","2994","testLoginSupervisor","Surefire suite","Wed Aug 26 05:48:26 UTC 2026","passed","Wed Aug 26 05:48:29 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Get History USDT Transfer Test CS","11159","historyUSDTTransferTestAdmin","Surefire suite","Wed Aug 26 06:00:22 UTC 2026","failed","Wed Aug 26 06:00:34 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestAdmin"
