"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Mutasi Transfer Balance","73020","mutasiTransferBalance","Surefire suite","Fri Jul 17 10:38:15 UTC 2026","passed","Fri Jul 17 10:39:28 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalance"
"Generate QR Success with before and after Balance","28661","generateQRBalanceFeeMarketing","Surefire suite","Fri Jul 17 10:15:52 UTC 2026","passed","Fri Jul 17 10:16:20 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeMarketing"
"","10819","historyQRTest","Surefire suite","Fri Jul 17 09:47:18 UTC 2026","passed","Fri Jul 17 09:47:29 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTest"
"Mutasi Special Transfer","22600","mutasiSpecialTransfer","Surefire suite","Fri Jul 17 10:34:18 UTC 2026","passed","Fri Jul 17 10:34:41 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransfer"
"Success Login Merchant","3286","testLoginWithCaptcha","Surefire suite","Fri Jul 17 09:46:25 UTC 2026","passed","Fri Jul 17 09:46:28 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWithCaptcha"
"","8732","inquiryManualTransfer","Surefire suite","Fri Jul 17 10:06:39 UTC 2026","passed","Fri Jul 17 10:06:47 UTC 2026","testcases.transfer.InquiryManualTransferTest","Surefire test","testcases.transfer.InquiryManualTransferTest","inquiryManualTransfer"
"","12201","historySpecialTransferTestCS","Surefire suite","Fri Jul 17 09:52:57 UTC 2026","passed","Fri Jul 17 09:53:09 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestCS"
"Transfer Different Partner Reference, Transfer to Manual Transfer","7384","trfPartnerRefTransferFailed","Surefire suite","Fri Jul 17 10:09:27 UTC 2026","passed","Fri Jul 17 10:09:34 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefTransferFailed"
"Transfer with Wrong Pin","6330","transferWrongPin","Surefire suite","Fri Jul 17 10:12:03 UTC 2026","passed","Fri Jul 17 10:12:09 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transferWrongPin"
"","8993","historyManualTransferTestSupervisor","Surefire suite","Fri Jul 17 09:51:16 UTC 2026","passed","Fri Jul 17 09:51:25 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestSupervisor"
"Mutasi Manual Transfer Balance","33381","mutasiManualTransferBalance","Surefire suite","Fri Jul 17 10:32:36 UTC 2026","passed","Fri Jul 17 10:33:09 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalance"
"Mutasi USDT Transfer Supervisor","26594","mutasiUSDTTransferSupervisor","Surefire suite","Fri Jul 17 10:41:36 UTC 2026","passed","Fri Jul 17 10:42:03 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferSupervisor"
"Transfer Different Parner Reference Supervisor, Special Transfer to Transfer","7261","trfPartnerRefSpecialSpvFailed","Surefire suite","Fri Jul 17 10:01:16 UTC 2026","passed","Fri Jul 17 10:01:23 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialSpvFailed"
"Transfer Success with before and after Balance","11721","transferBalance","Surefire suite","Fri Jul 17 09:59:08 UTC 2026","passed","Fri Jul 17 09:59:20 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferBalance"
"","11151","historyUSDTTransferTestCS","Surefire suite","Fri Jul 17 09:55:33 UTC 2026","passed","Fri Jul 17 09:55:44 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestCS"
