"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Success Assignment USDT","13466","assignUSDTTest","Surefire suite","Wed Aug 05 04:44:58 UTC 2026","passed","Wed Aug 05 04:45:11 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTTest"
"Add Merchant From CS Admin","4700","addCompanyCsAdmin","Surefire suite","Wed Aug 05 05:12:36 UTC 2026","failed","Wed Aug 05 05:12:41 UTC 2026","testcases.backoffice.AddCompanyTest","Surefire test","testcases.backoffice.AddCompanyTest","addCompanyCsAdmin"
"Get History Flop Transfer Test CS","24351","historyFlopTransferTestCS","Surefire suite","Wed Aug 05 03:30:39 UTC 2026","passed","Wed Aug 05 03:31:03 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestCS"
"Add Merchant From Backoffice","7504","addCompanyBackoffice","Surefire suite","Wed Aug 05 05:12:26 UTC 2026","failed","Wed Aug 05 05:12:33 UTC 2026","testcases.backoffice.AddCompanyTest","Surefire test","testcases.backoffice.AddCompanyTest","addCompanyBackoffice"
"Get History QR CS","9878","historyQRTestCS","Surefire suite","Wed Aug 05 03:25:13 UTC 2026","passed","Wed Aug 05 03:25:23 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestCS"
"Get History QR Paid Merchant on login CS Admin","14140","historyQRPaidMerchantCSAdmin","Surefire suite","Wed Aug 05 03:24:46 UTC 2026","passed","Wed Aug 05 03:25:00 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRPaidMerchantCSAdmin"
"Mutasi Special Transfer Balance","40085","mutasiSpecialTransferBalance","Surefire suite","Wed Aug 05 04:52:01 UTC 2026","failed","Wed Aug 05 04:52:41 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalance"
"Test Rejected Manual Transfer Supervisor","17516","rejectedCashDepositSupervisor","Surefire suite","Wed Aug 05 04:37:05 UTC 2026","passed","Wed Aug 05 04:37:23 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDepositSupervisor"
"","5045","generateQRCodeClosed","Surefire suite","Wed Aug 05 03:46:46 UTC 2026","passed","Wed Aug 05 03:46:51 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCodeClosed"
"Get Balance Company on Login Admin","4876","getBalanceCompanyAdmin","Surefire suite","Wed Aug 05 04:23:35 UTC 2026","passed","Wed Aug 05 04:23:39 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceCompanyAdmin"
"Get Balance Admin Crypto Transfer","4903","getBalanceAdminCrypto","Surefire suite","Wed Aug 05 04:25:43 UTC 2026","passed","Wed Aug 05 04:25:48 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceAdminCrypto"
"Mutasi Transfer Balance","82255","mutasiTransferBalance","Surefire suite","Wed Aug 05 05:02:41 UTC 2026","failed","Wed Aug 05 05:04:03 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalance"
"Mutasi Transfer","104160","mutasiTransfer","Surefire suite","Wed Aug 05 05:00:53 UTC 2026","failed","Wed Aug 05 05:02:38 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransfer"
"Delete session Merchant on CS Admin","5403","deleteSessionCsAdmin","Surefire suite","Wed Aug 05 05:13:52 UTC 2026","passed","Wed Aug 05 05:13:58 UTC 2026","testcases.backoffice.EditUserTest","Surefire test","testcases.backoffice.EditUserTest","deleteSessionCsAdmin"
"Mutasi Manual Transfer Balance","44740","mutasiManualTransferBalance","Surefire suite","Wed Aug 05 04:46:46 UTC 2026","passed","Wed Aug 05 04:47:31 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalance"
"Mutasi Special Transfer Supervisor CS","33027","mutasiSpecialTransferSupervisorCS","Surefire suite","Wed Aug 05 05:00:17 UTC 2026","passed","Wed Aug 05 05:00:50 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferSupervisorCS"
"Transfer Different Partner Reference, Transfer to Manual Transfer","93931","trfPartnerRefTransferFailed","Surefire suite","Wed Aug 05 04:08:09 UTC 2026","passed","Wed Aug 05 04:09:43 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefTransferFailed"
"Mutasi Transfer Supervisor Balance","21871","mutasiTransferSupervisorBalance","Surefire suite","Wed Aug 05 05:05:24 UTC 2026","passed","Wed Aug 05 05:05:46 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisorBalance"
"Get History Transfer Merchant on Login CS Admin","25703","historyTransferMerchantTestCSAdmin","Surefire suite","Wed Aug 05 03:42:11 UTC 2026","passed","Wed Aug 05 03:42:37 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferMerchantTestCSAdmin"
"Normal Transfer USDT Success","9402","transfer","Surefire suite","Wed Aug 05 04:12:17 UTC 2026","passed","Wed Aug 05 04:12:26 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transfer"
"Get History Special Transfer Supervisor on Login CS Admin","84743","historySpecialTransferSupervisorTestCSAdmin","Surefire suite","Wed Aug 05 03:37:13 UTC 2026","passed","Wed Aug 05 03:38:38 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferSupervisorTestCSAdmin"
"Transfer Different Partner Reference, Manual Transfer to Transfer","94157","trfPartnerRefManualFailed","Surefire suite","Wed Aug 05 03:51:14 UTC 2026","passed","Wed Aug 05 03:52:49 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualFailed"
"Test Approved Special Transfer Supervisor","85996","approvedSpecialTransferSupervisor","Surefire suite","Wed Aug 05 04:32:32 UTC 2026","failed","Wed Aug 05 04:33:58 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedSpecialTransferSupervisor"
"Transfer Different Partner Reference, Special Transfer to Manual Transfer","20738","trfPartnerRefManualFailed","Surefire suite","Wed Aug 05 04:07:46 UTC 2026","passed","Wed Aug 05 04:08:06 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefManualFailed"
"Test Rejected Special Transfer Supervisor","24297","rejectedSpecialTransferSupervisor","Surefire suite","Wed Aug 05 04:38:54 UTC 2026","passed","Wed Aug 05 04:39:19 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransferSupervisor"
"Add Whitelist Ip User CS Admin","7858","addWhitelistIpUserCsAdmin","Surefire suite","Wed Aug 05 05:13:41 UTC 2026","passed","Wed Aug 05 05:13:49 UTC 2026","testcases.backoffice.EditUserTest","Surefire test","testcases.backoffice.EditUserTest","addWhitelistIpUserCsAdmin"
"Get History Special Transfer Test","20142","historySpecialTransferTest","Surefire suite","Wed Aug 05 03:38:41 UTC 2026","passed","Wed Aug 05 03:39:01 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTest"
"Test Settlement USDT dengan check Fee di Admin Crypto dan Admin Fee","48556","settlementUSDT","Surefire suite","Wed Aug 05 04:40:03 UTC 2026","passed","Wed Aug 05 04:40:52 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","settlementUSDT"
"","9389","generateOpenQRCode","Surefire suite","Wed Aug 05 03:46:25 UTC 2026","passed","Wed Aug 05 03:46:35 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateOpenQRCode"
"Get Balance Merchant with Login CS","4843","getBalanceMerchantLoginCS","Surefire suite","Wed Aug 05 04:23:59 UTC 2026","passed","Wed Aug 05 04:24:04 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMerchantLoginCS"
"Success Login Admin Crypto","3411","testLoginAdminCrypto","Surefire suite","Wed Aug 05 03:22:50 UTC 2026","passed","Wed Aug 05 03:22:53 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdminCrypto"
"Transfer with Wrong Pin","35232","transferWrongPin","Surefire suite","Wed Aug 05 03:50:36 UTC 2026","passed","Wed Aug 05 03:51:11 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferWrongPin"
"Mutasi Manual Transfer Balance CS","31378","mutasiManualTransferBalanceSupervisorCS","Surefire suite","Wed Aug 05 04:48:55 UTC 2026","passed","Wed Aug 05 04:49:26 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceSupervisorCS"
"Get Balance Merchant with Login Marketing","4566","getFailedBalanceMerchantLoginMarketing","Surefire suite","Wed Aug 05 04:24:30 UTC 2026","passed","Wed Aug 05 04:24:35 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginMarketing"
"Transfer Different Partner Reference, Manual Transfer to Transfer","21349","trfPartnerRefManualFailed","Surefire suite","Wed Aug 05 04:00:40 UTC 2026","passed","Wed Aug 05 04:01:01 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefManualFailed"
"Get History Transfer Supervisor on Login CS Admin","22902","historyTransferSupervisorTestCSAdmin","Surefire suite","Wed Aug 05 03:42:40 UTC 2026","passed","Wed Aug 05 03:43:03 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferSupervisorTestCSAdmin"
"Mutasi USDT Transfer Supervisor","27136","mutasiUSDTTransferSupervisor","Surefire suite","Wed Aug 05 05:09:28 UTC 2026","passed","Wed Aug 05 05:09:55 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferSupervisor"
"Mutasi Transfer Supervisor Balance CS","25191","mutasiTransferSupervisorBalanceCS","Surefire suite","Wed Aug 05 05:05:49 UTC 2026","passed","Wed Aug 05 05:06:14 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisorBalanceCS"
"Transfer Different Partner Reference, Transfer to Special Transfer","32445","trfPartnerRefTransferFailed","Surefire suite","Wed Aug 05 04:01:04 UTC 2026","passed","Wed Aug 05 04:01:36 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefTransferFailed"
"Mutasi Special Transfer Balance Supervisor CS","37346","mutasiSpecialTransferBalanceSupervisorCS","Surefire suite","Wed Aug 05 04:56:15 UTC 2026","passed","Wed Aug 05 04:56:52 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalanceSupervisorCS"
"Test Approved Manual Transfer","34451","approvedCashDeposit","Surefire suite","Wed Aug 05 04:26:50 UTC 2026","passed","Wed Aug 05 04:27:25 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDeposit"
"Mutasi Manual Transfer Supervisor","26693","mutasiManualTransferSupervisor","Surefire suite","Wed Aug 05 04:50:11 UTC 2026","passed","Wed Aug 05 04:50:38 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferSupervisor"
"Get History QR Success Paid","8309","historyQRTestPaid","Surefire suite","Wed Aug 05 03:25:26 UTC 2026","passed","Wed Aug 05 03:25:34 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaid"
"Get History QR CS Success Paid","11223","historyQRTestPaidCS","Surefire suite","Wed Aug 05 03:25:37 UTC 2026","passed","Wed Aug 05 03:25:48 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaidCS"
"Generate QR Success with before and after Balance","12737","generateQRTestPaidBalance","Surefire suite","Wed Aug 05 04:22:03 UTC 2026","passed","Wed Aug 05 04:22:16 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRTestPaidBalance"
"Special Transfer Success with before and after Balance","13724","specialTransferSupervisor","Surefire suite","Wed Aug 05 03:58:16 UTC 2026","passed","Wed Aug 05 03:58:29 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","specialTransferSupervisor"
"Transfer Different Partner Reference, USDT Transfer to Transfer","93820","trfPartnerRefUSDTFailed","Surefire suite","Wed Aug 05 04:01:39 UTC 2026","passed","Wed Aug 05 04:03:13 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefUSDTFailed"
"","4950","generateQRCodeFailed","Surefire suite","Wed Aug 05 03:46:54 UTC 2026","passed","Wed Aug 05 03:46:59 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCodeFailed"
"Transfer with Wrong Pin","98898","transferWrongPin","Surefire suite","Wed Aug 05 03:58:58 UTC 2026","passed","Wed Aug 05 04:00:37 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transferWrongPin"
"Get History USDT Transfer Supervisor on Login CS Admin","11392","historyUSDTTransferSupervisorTestCSAdmin","Surefire suite","Wed Aug 05 03:44:32 UTC 2026","passed","Wed Aug 05 03:44:43 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferSupervisorTestCSAdmin"
"Get Balance Merchant with Login Admin","4874","getFailedBalanceMerchantLoginAdmin","Surefire suite","Wed Aug 05 04:24:14 UTC 2026","passed","Wed Aug 05 04:24:19 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginAdmin"
"Inquiry Test Flop Transfer Merchant Supervisor","8123","inquiryFlopTransferSupervisor","Surefire suite","Wed Aug 05 04:16:43 UTC 2026","passed","Wed Aug 05 04:16:51 UTC 2026","testcases.transfer.InquiryFlopTransferTest","Surefire test","testcases.transfer.InquiryFlopTransferTest","inquiryFlopTransferSupervisor"
"Test Approve Special Transfer Supervisor dengan check Fee di Admin Fee","37638","approvedSpecialTransferSupervisorBalance","Surefire suite","Wed Aug 05 04:34:01 UTC 2026","passed","Wed Aug 05 04:34:38 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedSpecialTransferSupervisorBalance"
"Get Balance Marketing","5219","getBalanceMarketing","Surefire suite","Wed Aug 05 04:23:42 UTC 2026","passed","Wed Aug 05 04:23:48 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMarketing"
"Normal Transfer Success","23696","transfer","Surefire suite","Wed Aug 05 03:49:21 UTC 2026","passed","Wed Aug 05 03:49:45 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transfer"
"Test Reject USDT","18351","rejectedUSDT","Surefire suite","Wed Aug 05 04:39:22 UTC 2026","passed","Wed Aug 05 04:39:40 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedUSDT"
"Inquiry Test Transfer Merchant","19270","inquiryTransfer","Surefire suite","Wed Aug 05 03:47:41 UTC 2026","passed","Wed Aug 05 03:48:00 UTC 2026","testcases.transfer.InquiryTransferTest","Surefire test","testcases.transfer.InquiryTransferTest","inquiryTransfer"
"Test Approved Special Transfer","50252","approvedSpecialTransfer","Surefire suite","Wed Aug 05 04:29:30 UTC 2026","failed","Wed Aug 05 04:30:20 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedSpecialTransfer"
"Mutasi Manual Transfer Supervisor CS","38828","mutasiManualTransferSupervisorCS","Surefire suite","Wed Aug 05 04:50:41 UTC 2026","passed","Wed Aug 05 04:51:20 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferSupervisorCS"
"Get History Transfer Test","19882","historyTransferTest","Surefire suite","Wed Aug 05 03:43:06 UTC 2026","passed","Wed Aug 05 03:43:26 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferTest"
"Transfer with Wrong Pin","21007","transferWrongPin","Surefire suite","Wed Aug 05 04:12:43 UTC 2026","passed","Wed Aug 05 04:13:04 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transferWrongPin"
"Mutasi Manual Transfer CS","38944","mutasiManualTransferCS","Surefire suite","Wed Aug 05 04:49:29 UTC 2026","passed","Wed Aug 05 04:50:08 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferCS"
"Mutasi Manual Transfer Balance CS","31759","mutasiManualTransferBalanceCS","Surefire suite","Wed Aug 05 04:47:34 UTC 2026","passed","Wed Aug 05 04:48:06 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceCS"
"Get History QR Supervisor Success Paid","10869","historyQRTestPaidSupervisor","Surefire suite","Wed Aug 05 03:25:51 UTC 2026","passed","Wed Aug 05 03:26:02 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaidSupervisor"
"Transfer Success with before and after Balanced","23086","transferBalance","Surefire suite","Wed Aug 05 03:49:48 UTC 2026","passed","Wed Aug 05 03:50:11 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferBalance"
"Mutasi Transfer Supervisor CS","22838","mutasiTransferSupervisorCS","Surefire suite","Wed Aug 05 05:06:17 UTC 2026","passed","Wed Aug 05 05:06:40 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisorCS"
"Success Login Merchant","3024","testLoginWithCaptcha","Surefire suite","Wed Aug 05 03:23:35 UTC 2026","passed","Wed Aug 05 03:23:38 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWithCaptcha"
"Test Approved USDT Supervisor","17949","approvedUSDTSupervisor","Surefire suite","Wed Aug 05 04:35:02 UTC 2026","passed","Wed Aug 05 04:35:20 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisor"
"Transfer Different Partner Reference, Special Transfer to Transfer","93910","trfPartnerRefSpecialFailed","Surefire suite","Wed Aug 05 03:53:15 UTC 2026","passed","Wed Aug 05 03:54:49 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialFailed"
"Success Login CS Admin","3114","testLoginCSAdmin","Surefire suite","Wed Aug 05 03:23:10 UTC 2026","passed","Wed Aug 05 03:23:13 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginCSAdmin"
"Mutasi USDT Transfer Balance","32402","mutasiUSDTTransferBalance","Surefire suite","Wed Aug 05 05:07:13 UTC 2026","passed","Wed Aug 05 05:07:45 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalance"
"Get History QR Supervisor","9819","historyQRTestSupervisor","Surefire suite","Wed Aug 05 03:26:05 UTC 2026","passed","Wed Aug 05 03:26:15 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestSupervisor"
"Success Login Customer Service","3314","testLoginCS","Surefire suite","Wed Aug 05 03:23:04 UTC 2026","passed","Wed Aug 05 03:23:07 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginCS"
