"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"List Currency USDT Menggunakan HTTP Method DELETE","1463","getCurrencyWithDeleteMethod","Surefire suite","Thu Sep 17 05:02:39 UTC 2026","passed","Thu Sep 17 05:02:40 UTC 2026","testcases.backoffice.currency.GetCurrencyTest","Surefire test","testcases.backoffice.currency.GetCurrencyTest","getCurrencyWithDeleteMethod"
"Get History QR Admin","11159","historyQRTestAdmin","Surefire suite","Thu Sep 17 03:26:13 UTC 2026","passed","Thu Sep 17 03:26:24 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestAdmin"
"List Waiting Company Backoffice Menggunakan HTTP Method GET","4903","listWaitingCompanyWithGetMethod","Surefire suite","Thu Sep 17 05:51:16 UTC 2026","passed","Thu Sep 17 05:51:21 UTC 2026","testcases.backoffice.ListWaitingCompanyTest","Surefire test","testcases.backoffice.ListWaitingCompanyTest","listWaitingCompanyWithGetMethod"
"Get List Group Backoffice Menggunakan Login Admin Crypto","4846","getListGroupWithAdminCryptoLogin","Surefire suite","Thu Sep 17 05:35:10 UTC 2026","passed","Thu Sep 17 05:35:15 UTC 2026","testcases.backoffice.group.GetListGroupTest","Surefire test","testcases.backoffice.group.GetListGroupTest","getListGroupWithAdminCryptoLogin"
"List Waiting Company Backoffice Dengan Ukuran Halaman Sangat Besar","4757","listWaitingCompanyWithHugeSize","Surefire suite","Thu Sep 17 05:51:24 UTC 2026","passed","Thu Sep 17 05:51:29 UTC 2026","testcases.backoffice.ListWaitingCompanyTest","Surefire test","testcases.backoffice.ListWaitingCompanyTest","listWaitingCompanyWithHugeSize"
"Delete Google Authenticator Dengan Token Kadaluarsa","1487","deleteOtpGoogleWithExpiredToken","Surefire suite","Thu Sep 17 06:46:46 UTC 2026","passed","Thu Sep 17 06:46:47 UTC 2026","testcases.backoffice.googleauth.DeleteOtpGoogleTest","Surefire test","testcases.backoffice.googleauth.DeleteOtpGoogleTest","deleteOtpGoogleWithExpiredToken"
"Transfer Different Partner Reference, Manual Transfer to Transfer","20864","trfPartnerRefManualFailed","Surefire suite","Thu Sep 17 03:49:08 UTC 2026","passed","Thu Sep 17 03:49:29 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefManualFailed"
"Success Login Supervisor With Captcha","3115","testLoginSupervisor","Surefire suite","Thu Sep 17 03:23:22 UTC 2026","passed","Thu Sep 17 03:23:25 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Resend Google Authenticator Dengan email Berupa null","4729","resendOtpGoogleWithNullEmail","Surefire suite","Thu Sep 17 06:41:35 UTC 2026","passed","Thu Sep 17 06:41:40 UTC 2026","testcases.backoffice.googleauth.ResendOtpGoogleTest","Surefire test","testcases.backoffice.googleauth.ResendOtpGoogleTest","resendOtpGoogleWithNullEmail"
"Transfer Different Partner Reference, Manual Transfer to USDT Transfer","21988","trfPartnerRefManualFailed","Surefire suite","Thu Sep 17 04:00:06 UTC 2026","passed","Thu Sep 17 04:00:28 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefManualFailed"
"Delete Manage Settlement BO Dengan id Berisi Payload XSS","4606","deleteManageSettlementWithXssId","Surefire suite","Thu Sep 17 06:19:09 UTC 2026","passed","Thu Sep 17 06:19:14 UTC 2026","testcases.backoffice.settlement.DeleteManageSettlementTest","Surefire test","testcases.backoffice.settlement.DeleteManageSettlementTest","deleteManageSettlementWithXssId"
"Get List Group Company BO Dengan Header Authorization Tanpa Skema Bearer","1532","getListGroupCompanyWithMalformedAuthorizationHeader","Surefire suite","Thu Sep 17 06:22:48 UTC 2026","passed","Thu Sep 17 06:22:49 UTC 2026","testcases.backoffice.settlement.GetListGroupCompanyTest","Surefire test","testcases.backoffice.settlement.GetListGroupCompanyTest","getListGroupCompanyWithMalformedAuthorizationHeader"
"Get List Google Authenticator Dengan Token Backoffice Valid Tapi Tanpa Header pbyv","4503","listOtpGoogleWithoutPbyvHeader","Surefire suite","Thu Sep 17 06:37:11 UTC 2026","passed","Thu Sep 17 06:37:16 UTC 2026","testcases.backoffice.googleauth.ListOtpGoogleTest","Surefire test","testcases.backoffice.googleauth.ListOtpGoogleTest","listOtpGoogleWithoutPbyvHeader"
"Login Merchant dengan Captcha yang Dipakai Ulang","4405","testLoginReusedCaptcha","Surefire suite","Thu Sep 17 03:23:09 UTC 2026","passed","Thu Sep 17 03:23:13 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginReusedCaptcha"
"Reset Password Group","5201","resetPasswordGroup","Surefire suite","Thu Sep 17 06:51:40 UTC 2026","passed","Thu Sep 17 06:51:46 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordGroup"
"List Company Backoffice Menggunakan HTTP Method GET","4951","listCompanyWithGetMethod","Surefire suite","Thu Sep 17 05:47:01 UTC 2026","passed","Thu Sep 17 05:47:06 UTC 2026","testcases.backoffice.ListCompanyTest","Surefire test","testcases.backoffice.ListCompanyTest","listCompanyWithGetMethod"
"Get Notification Sender Dengan Page/Size Negatif","4632","getNotificationSenderWithNegativePageSize","Surefire suite","Thu Sep 17 06:29:26 UTC 2026","passed","Thu Sep 17 06:29:31 UTC 2026","testcases.backoffice.notifsender.NotificationSenderTest","Surefire test","testcases.backoffice.notifsender.NotificationSenderTest","getNotificationSenderWithNegativePageSize"
"Get Detail Waiting Company Backoffice Dengan Id Sangat Panjang (10.000 karakter)","4643","getDetailWaitingCompanyWithOverlongId","Surefire suite","Thu Sep 17 05:57:13 UTC 2026","passed","Thu Sep 17 05:57:17 UTC 2026","testcases.backoffice.GetDetailWaitingCompanyTest","Surefire test","testcases.backoffice.GetDetailWaitingCompanyTest","getDetailWaitingCompanyWithOverlongId"
"Inquiry Test Manual Transfer Admin Crypto","4928","inquiryManualTransferAdminCrypto","Surefire suite","Thu Sep 17 03:52:41 UTC 2026","passed","Thu Sep 17 03:52:46 UTC 2026","testcases.transfer.InquiryManualTransferTest","Surefire test","testcases.transfer.InquiryManualTransferTest","inquiryManualTransferAdminCrypto"
"Delete Group Backoffice Menggunakan Login Merchant","4545","deleteGroupWithMerchantLogin","Surefire suite","Thu Sep 17 05:42:06 UTC 2026","passed","Thu Sep 17 05:42:11 UTC 2026","testcases.backoffice.group.DeleteGroupTest","Surefire test","testcases.backoffice.group.DeleteGroupTest","deleteGroupWithMerchantLogin"
"Get List Group Backoffice Dengan Token Tidak Valid","1457","getListGroupWithInvalidToken","Surefire suite","Thu Sep 17 05:36:16 UTC 2026","passed","Thu Sep 17 05:36:18 UTC 2026","testcases.backoffice.group.GetListGroupTest","Surefire test","testcases.backoffice.group.GetListGroupTest","getListGroupWithInvalidToken"
"Mutasi Manual Transfer","28277","mutasiManualTransfer","Surefire suite","Thu Sep 17 04:33:44 UTC 2026","passed","Thu Sep 17 04:34:12 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransfer"
"List Refund Dengan Field Sort Merujuk ke Kolom yang Tidak Ada","4686","listRefundWithInvalidSortField","Surefire suite","Thu Sep 17 05:13:42 UTC 2026","passed","Thu Sep 17 05:13:47 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithInvalidSortField"
"Get History QR Supervisor","10243","historyQRTestSupervisor","Surefire suite","Thu Sep 17 03:27:34 UTC 2026","passed","Thu Sep 17 03:27:45 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestSupervisor"
"Get List Group Backoffice Dengan Body JSON Tidak Valid (Malformed)","1582","getListGroupWithMalformedJson","Surefire suite","Thu Sep 17 05:36:25 UTC 2026","passed","Thu Sep 17 05:36:27 UTC 2026","testcases.backoffice.group.GetListGroupTest","Surefire test","testcases.backoffice.group.GetListGroupTest","getListGroupWithMalformedJson"
"Get List Group Company BO Dengan groupName Berisi Karakter SQL Injection","4608","getListGroupCompanyWithSqlInjectionGroupName","Surefire suite","Thu Sep 17 06:23:54 UTC 2026","passed","Thu Sep 17 06:23:59 UTC 2026","testcases.backoffice.settlement.GetListGroupCompanyTest","Surefire test","testcases.backoffice.settlement.GetListGroupCompanyTest","getListGroupCompanyWithSqlInjectionGroupName"
"Success Login Customer Service","3275","testLoginCS","Surefire suite","Thu Sep 17 03:22:08 UTC 2026","passed","Thu Sep 17 03:22:11 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginCS"
"Add Group Backoffice Dengan Body Berupa Literal null","1571","addGroupWithNullLiteralBody","Surefire suite","Thu Sep 17 05:32:11 UTC 2026","passed","Thu Sep 17 05:32:12 UTC 2026","testcases.backoffice.group.AddGroupTest","Surefire test","testcases.backoffice.group.AddGroupTest","addGroupWithNullLiteralBody"
"Delete Manage Settlement BO Dengan id Valid Secara Format Tapi Tidak Ada","4815","deleteManageSettlementWithNonExistentId","Surefire suite","Thu Sep 17 06:18:01 UTC 2026","passed","Thu Sep 17 06:18:05 UTC 2026","testcases.backoffice.settlement.DeleteManageSettlementTest","Surefire test","testcases.backoffice.settlement.DeleteManageSettlementTest","deleteManageSettlementWithNonExistentId"
