"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Transfer Different Partner Reference, Transfer to Special Transfer","7477","trfPartnerRefTransferFailed","Surefire suite","Wed Jul 29 04:34:56 UTC 2026","passed","Wed Jul 29 04:35:03 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefTransferFailed"
"Test Rejected Special Transfer","12332","rejectedSpecialTransfer","Surefire suite","Wed Jul 29 05:02:13 UTC 2026","passed","Wed Jul 29 05:02:25 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransfer"
"Test Rejected Special Transfer Supervisor","74223","rejectedSpecialTransferSupervisor","Surefire suite","Wed Jul 29 05:02:28 UTC 2026","passed","Wed Jul 29 05:03:42 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedSpecialTransferSupervisor"
"Normal Transfer with Account Supervisor","8715","transferSupervisor","Surefire suite","Wed Jul 29 04:29:56 UTC 2026","passed","Wed Jul 29 04:30:05 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferSupervisor"
"Generate QR Success with before and after Balance","11706","generateQRTestPaidBalance","Surefire suite","Wed Jul 29 04:49:39 UTC 2026","passed","Wed Jul 29 04:49:51 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRTestPaidBalance"
"Get Balance Admin Transfer","8122","getBalanceAdmin","Surefire suite","Wed Jul 29 04:52:56 UTC 2026","passed","Wed Jul 29 04:53:04 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceAdmin"
"Get Balance Merchant with Login Admin","9022","getBalanceAdmin","Surefire suite","Wed Jul 29 04:50:51 UTC 2026","passed","Wed Jul 29 04:51:00 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceAdmin"
"Normal Manual Transfer Success","11860","transfer","Surefire suite","Wed Jul 29 04:39:53 UTC 2026","failed","Wed Jul 29 04:40:04 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","transfer"
"Mutasi Special Transfer Balance Supervisor","76990","mutasiSpecialTransferBalanceSupervisor","Surefire suite","Wed Jul 29 05:16:10 UTC 2026","broken","Wed Jul 29 05:17:27 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalanceSupervisor"
"Test Approve Manual Transfer dengan check Fee di Admin Crypto dan Admin Fee","43323","approvedCashDepositBalance","Surefire suite","Wed Jul 29 04:54:38 UTC 2026","passed","Wed Jul 29 04:55:21 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositBalance"
"Test Approved USDT Supervisor","17506","approvedUSDTSupervisor","Surefire suite","Wed Jul 29 05:00:27 UTC 2026","passed","Wed Jul 29 05:00:45 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisor"
"Transfer Different Partner Reference, USDT Transfer to Transfer","7852","trfPartnerRefUSDTFailed","Surefire suite","Wed Jul 29 04:35:06 UTC 2026","failed","Wed Jul 29 04:35:14 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefUSDTFailed"
"Get History QR CS","10235","historyQRTestCS","Surefire suite","Wed Jul 29 04:15:55 UTC 2026","passed","Wed Jul 29 04:16:05 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestCS"
"Mutasi Special Transfer Supervisor","22495","mutasiSpecialTransferSupervisor","Surefire suite","Wed Jul 29 05:19:16 UTC 2026","passed","Wed Jul 29 05:19:39 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferSupervisor"
"Mutasi USDT Transfer CS","26910","mutasiUSDTTransferCS","Surefire suite","Wed Jul 29 05:25:09 UTC 2026","passed","Wed Jul 29 05:25:36 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferCS"
"","4746","listSettlement","Surefire suite","Wed Jul 29 05:06:16 UTC 2026","passed","Wed Jul 29 05:06:20 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listSettlement"
"Success Login Marketing","3217","testLoginMarketing","Surefire suite","Wed Jul 29 04:14:32 UTC 2026","passed","Wed Jul 29 04:14:35 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Get Balance Merchant with Login Admin Crypto","4628","getFailedBalanceMerchantLoginAdminCrypto","Surefire suite","Wed Jul 29 04:51:58 UTC 2026","passed","Wed Jul 29 04:52:03 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginAdminCrypto"
"Inquiry Test Transfer Merchant","9264","inquiryTransfer","Surefire suite","Wed Jul 29 04:27:05 UTC 2026","passed","Wed Jul 29 04:27:14 UTC 2026","testcases.transfer.InquiryTransferTest","Surefire test","testcases.transfer.InquiryTransferTest","inquiryTransfer"
"Inquiry Test USDT Transfer Merchant","7213","inquiryUSDT","Surefire suite","Wed Jul 29 04:42:52 UTC 2026","failed","Wed Jul 29 04:43:00 UTC 2026","testcases.transfer.InquiryUSDTTest","Surefire test","testcases.transfer.InquiryUSDTTest","inquiryUSDT"
"Get History Flop Transfer Test","10090","historyFlopTransferTest","Surefire suite","Wed Jul 29 04:18:50 UTC 2026","failed","Wed Jul 29 04:19:00 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTest"
"Test Approved Manual Transfer","21824","approvedCashDeposit","Surefire suite","Wed Jul 29 04:54:13 UTC 2026","passed","Wed Jul 29 04:54:34 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDeposit"
