"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7601","getBalanceAdmin","Surefire suite","Thu Jul 16 13:14:39 UTC 2026","passed","Thu Jul 16 13:14:46 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceAdmin"
"","8612","inquiryManualTransfer","Surefire suite","Thu Jul 16 13:00:37 UTC 2026","passed","Thu Jul 16 13:00:45 UTC 2026","testcases.transfer.InquiryManualTransferTest","Surefire test","testcases.transfer.InquiryManualTransferTest","inquiryManualTransfer"
"Transfer Different Parner Reference Supervisor, USDT Transfer to Transfer","6991","trfPartnerRefUSDTSpvFailed","Surefire suite","Thu Jul 16 12:55:41 UTC 2026","passed","Thu Jul 16 12:55:48 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefUSDTSpvFailed"
"","8577","transfer","Surefire suite","Thu Jul 16 13:09:16 UTC 2026","passed","Thu Jul 16 13:09:25 UTC 2026","testcases.transfer.TransferFlopTest","Surefire test","testcases.transfer.TransferFlopTest","transfer"
"Test Approved Manual Transfer","24838","approvedCashDeposit","Surefire suite","Thu Jul 16 13:15:52 UTC 2026","passed","Thu Jul 16 13:16:17 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDeposit"
"Normal Manual Transfer Success","11918","transfer","Surefire suite","Thu Jul 16 13:01:56 UTC 2026","passed","Thu Jul 16 13:02:08 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","transfer"
"Generate QR Success with before and after Balance","31314","generateQRBalanceFeeMarketing","Surefire suite","Thu Jul 16 13:10:48 UTC 2026","passed","Thu Jul 16 13:11:19 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeMarketing"
"Wrong Password Login Merchant","3311","testLoginWrongPassword","Surefire suite","Thu Jul 16 12:40:05 UTC 2026","passed","Thu Jul 16 12:40:08 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"Success Login Marketing","3508","testLoginMarketing","Surefire suite","Thu Jul 16 12:39:45 UTC 2026","passed","Thu Jul 16 12:39:49 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"","5490","getBalanceMerchant","Surefire suite","Thu Jul 16 13:14:57 UTC 2026","passed","Thu Jul 16 13:15:03 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceMerchant"
