"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Success Login Supervisor With Captcha","3257","testLoginSupervisor","Surefire suite","Wed Jul 08 03:44:16 UTC 2026","passed","Wed Jul 08 03:44:19 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Success Login Merchant","5403","testLoginAdmin","Surefire suite","Wed Jul 08 03:43:42 UTC 2026","passed","Wed Jul 08 03:43:48 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdmin"
"Success Login Admin Crypto","3216","testLoginAdminCrypto","Surefire suite","Wed Jul 08 03:43:51 UTC 2026","passed","Wed Jul 08 03:43:54 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdminCrypto"
"Success Login Customer Service","3285","testLoginCS","Surefire suite","Wed Jul 08 03:44:03 UTC 2026","passed","Wed Jul 08 03:44:07 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginCS"
"Success Login Marketing","3046","testLoginMarketing","Surefire suite","Wed Jul 08 03:44:10 UTC 2026","passed","Wed Jul 08 03:44:13 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Success Login Backoffice","3352","testLoginBackoffice","Surefire suite","Wed Jul 08 03:43:57 UTC 2026","passed","Wed Jul 08 03:44:00 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginBackoffice"
"Success Login Merchant","3177","testLoginWithCaptcha","Surefire suite","Wed Jul 08 03:44:22 UTC 2026","passed","Wed Jul 08 03:44:25 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWithCaptcha"
"Wrong Password Login Merchant","3049","testLoginWrongPassword","Surefire suite","Wed Jul 08 03:44:28 UTC 2026","passed","Wed Jul 08 03:44:31 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
