"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Generate QR Success with Fee Admin","31943","generateQRBalanceFeeAdmin","Surefire suite","Thu Aug 27 05:26:34 UTC 2026","passed","Thu Aug 27 05:27:06 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeAdmin"
"","4585","listUSDT","Surefire suite","Thu Aug 27 05:46:10 UTC 2026","passed","Thu Aug 27 05:46:14 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listUSDT"
"Mutasi USDT Transfer CS","26379","mutasiUSDTTransferCS","Surefire suite","Thu Aug 27 06:01:34 UTC 2026","passed","Thu Aug 27 06:02:01 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferCS"
"Get History Manual Transfer Test Admin","14346","historyManualTransferTestAdmin","Surefire suite","Thu Aug 27 04:55:11 UTC 2026","passed","Thu Aug 27 04:55:25 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestAdmin"
"Request Refund Transfer CS","4543","refundTransferCS","Surefire suite","Thu Aug 27 06:20:20 UTC 2026","passed","Thu Aug 27 06:20:24 UTC 2026","testcases.transfer.RefundTransferTest","Surefire test","testcases.transfer.RefundTransferTest","refundTransferCS"
"Get Balance Merchant with Login Marketing","4547","getFailedBalanceMerchantLoginMarketing","Surefire suite","Thu Aug 27 05:30:07 UTC 2026","passed","Thu Aug 27 05:30:11 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginMarketing"
"Transfer Different Partner Reference, Transfer to USDT Transfer","20255","trfPartnerRefTransferFailed","Surefire suite","Thu Aug 27 05:21:39 UTC 2026","passed","Thu Aug 27 05:21:59 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefTransferFailed"
"Mutasi USDT Transfer","25927","mutasiUSDTTransfer","Surefire suite","Thu Aug 27 05:59:23 UTC 2026","passed","Thu Aug 27 05:59:49 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransfer"
"Reset Password Merchant","4624","resetPasswordMerchant","Surefire suite","Thu Aug 27 06:35:22 UTC 2026","passed","Thu Aug 27 06:35:26 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordMerchant"
"List Refund Tanpa Body Sama Sekali","4613","listRefundWithoutBody","Surefire suite","Thu Aug 27 06:24:33 UTC 2026","passed","Thu Aug 27 06:24:38 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithoutBody"
"Success Assignment Cash Deposit","12902","assignCashDepositTest","Surefire suite","Thu Aug 27 05:47:39 UTC 2026","passed","Thu Aug 27 05:47:52 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignCashDepositTest"
"Test Get Report Transaction Group","4997","getReportTransactionAdmin","Surefire suite","Thu Aug 27 06:04:54 UTC 2026","passed","Thu Aug 27 06:04:59 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportTransactionAdmin"
"Mutasi Transfer Balance","9592","mutasiTransferBalance","Surefire suite","Thu Aug 27 05:57:47 UTC 2026","passed","Thu Aug 27 05:57:56 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalance"
"Get History QR Paid Merchant on login CS Admin","11934","historyQRPaidMerchantCSAdmin","Surefire suite","Thu Aug 27 04:50:10 UTC 2026","passed","Thu Aug 27 04:50:22 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRPaidMerchantCSAdmin"
"Get Group Detail Backoffice Dengan Header Authorization Tanpa Skema Bearer","1475","getGroupDetailWithMalformedAuthorizationHeader","Surefire suite","Thu Aug 27 06:31:34 UTC 2026","passed","Thu Aug 27 06:31:35 UTC 2026","testcases.backoffice.GetGroupTest","Surefire test","testcases.backoffice.GetGroupTest","getGroupDetailWithMalformedAuthorizationHeader"
"Transfer Different Partner Reference, Manual Transfer to Transfer","20013","trfPartnerRefManualFailed","Surefire suite","Thu Aug 27 05:12:12 UTC 2026","passed","Thu Aug 27 05:12:32 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefManualFailed"
"Test Rejected Manual Transfer Supervisor","17262","rejectedCashDepositSupervisor","Surefire suite","Thu Aug 27 05:41:43 UTC 2026","passed","Thu Aug 27 05:42:00 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedCashDepositSupervisor"
"Get Balance Admin Transfer","8064","getBalanceAdmin","Surefire suite","Thu Aug 27 05:31:12 UTC 2026","passed","Thu Aug 27 05:31:20 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceAdmin"
"Mutasi Manual Transfer Balance","32109","mutasiManualTransferBalance","Surefire suite","Thu Aug 27 05:50:20 UTC 2026","passed","Thu Aug 27 05:50:52 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalance"
"Get History Transfer Merchant on Login CS Admin","12215","historyTransferMerchantTestCSAdmin","Surefire suite","Thu Aug 27 04:58:20 UTC 2026","passed","Thu Aug 27 04:58:33 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferMerchantTestCSAdmin"
"Mutasi Transfer Supervisor Balance","9669","mutasiTransferSupervisorBalance","Surefire suite","Thu Aug 27 05:58:40 UTC 2026","passed","Thu Aug 27 05:58:50 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisorBalance"
"Get Group User Backoffice","4536","getGroupSuperBO","Surefire suite","Thu Aug 27 05:33:41 UTC 2026","passed","Thu Aug 27 05:33:46 UTC 2026","testcases.backoffice.GetDashboardTest","Surefire test","testcases.backoffice.GetDashboardTest","getGroupSuperBO"
"Transfer Success Admin Crypto with before and after Balanced","9685","transferBalanceAdminCrypto","Surefire suite","Thu Aug 27 05:05:36 UTC 2026","passed","Thu Aug 27 05:05:46 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferBalanceAdminCrypto"
"Get History QR CS","9376","historyQRTestCS","Surefire suite","Thu Aug 27 04:50:47 UTC 2026","passed","Thu Aug 27 04:50:56 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestCS"
"Test Approve Special Transfer Supervisor dengan check Fee di Admin Fee","24710","approvedSpecialTransferSupervisorBalance","Surefire suite","Thu Aug 27 05:38:47 UTC 2026","passed","Thu Aug 27 05:39:11 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedSpecialTransferSupervisorBalance"
"Get History QR Open Merchant on login CS Admin","13713","historyQROpenMerchantCSAdmin","Surefire suite","Thu Aug 27 04:49:53 UTC 2026","passed","Thu Aug 27 04:50:07 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQROpenMerchantCSAdmin"
"Reset Password Backoffice","4692","resetPasswordBackoffice","Surefire suite","Thu Aug 27 06:34:42 UTC 2026","passed","Thu Aug 27 06:34:47 UTC 2026","testcases.settings.ResetPasswordTest","Surefire test","testcases.settings.ResetPasswordTest","resetPasswordBackoffice"
"List Refund Menggunakan Login Supervisor","4372","listRefundWithSupervisorLogin","Surefire suite","Thu Aug 27 06:24:22 UTC 2026","passed","Thu Aug 27 06:24:26 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithSupervisorLogin"
"Get History Transfer Test CS","11330","historyTransferTestCS","Surefire suite","Thu Aug 27 04:59:27 UTC 2026","passed","Thu Aug 27 04:59:38 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferTestCS"
"Get Balance Merchant Transfer","4686","getBalanceMerchant","Surefire suite","Thu Aug 27 05:31:31 UTC 2026","passed","Thu Aug 27 05:31:36 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceMerchant"
"List Refund Dengan Body JSON Tidak Valid (Malformed)","4379","listRefundWithMalformedJson","Surefire suite","Thu Aug 27 06:23:44 UTC 2026","passed","Thu Aug 27 06:23:48 UTC 2026","testcases.backoffice.ListRefundTest","Surefire test","testcases.backoffice.ListRefundTest","listRefundWithMalformedJson"
"Inquiry Test Transfer Admin Crypto","5307","inquiryTransferAdminCrypto","Surefire suite","Thu Aug 27 05:03:57 UTC 2026","passed","Thu Aug 27 05:04:02 UTC 2026","testcases.transfer.InquiryTransferTest","Surefire test","testcases.transfer.InquiryTransferTest","inquiryTransferAdminCrypto"
"Get Group Detail Backoffice Menggunakan HTTP Method DELETE","4496","getGroupDetailWithDeleteMethod","Surefire suite","Thu Aug 27 06:30:54 UTC 2026","passed","Thu Aug 27 06:30:59 UTC 2026","testcases.backoffice.GetGroupTest","Surefire test","testcases.backoffice.GetGroupTest","getGroupDetailWithDeleteMethod"
"Get History Special Transfer Test Fee Admin","11249","historySpecialTransferTestFeeAdmin","Surefire suite","Thu Aug 27 04:57:55 UTC 2026","passed","Thu Aug 27 04:58:06 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestFeeAdmin"
"Normal Flop Transfer Success Admin Crypto","9851","flopTransferAdminCrypto","Surefire suite","Thu Aug 27 05:24:38 UTC 2026","passed","Thu Aug 27 05:24:48 UTC 2026","testcases.transfer.TransferFlopTest","Surefire test","testcases.transfer.TransferFlopTest","flopTransferAdminCrypto"
"Request Refund Special Transfer Merchant","4844","refundSpecialTransferMerchant","Surefire suite","Thu Aug 27 06:20:04 UTC 2026","passed","Thu Aug 27 06:20:09 UTC 2026","testcases.transfer.RefundTransferTest","Surefire test","testcases.transfer.RefundTransferTest","refundSpecialTransferMerchant"
"Transfer Different Partner Reference, Transfer to Manual Transfer","20194","trfPartnerRefTransferFailed","Surefire suite","Thu Aug 27 05:17:11 UTC 2026","passed","Thu Aug 27 05:17:31 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefTransferFailed"
"Test Settlement USDT CS Admin dengan check Fee di Admin Crypto dan Admin Fee","43535","settlementUSDTCSAdmin","Surefire suite","Thu Aug 27 05:43:58 UTC 2026","passed","Thu Aug 27 05:44:42 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","settlementUSDTCSAdmin"
"List User Backoffice Menggunakan Login Marketing","4523","listUsersWithMarketingLogin","Surefire suite","Thu Aug 27 06:27:58 UTC 2026","passed","Thu Aug 27 06:28:02 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","listUsersWithMarketingLogin"
"Get History USDT Transfer Test CS","11127","historyUSDTTransferTestCS","Surefire suite","Thu Aug 27 05:00:58 UTC 2026","passed","Thu Aug 27 05:01:09 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestCS"
"List User Backoffice Dengan Body JSON Tidak Valid (Malformed)","4578","listUsersWithMalformedJson","Surefire suite","Thu Aug 27 06:27:50 UTC 2026","passed","Thu Aug 27 06:27:55 UTC 2026","testcases.backoffice.ListUsersTest","Surefire test","testcases.backoffice.ListUsersTest","listUsersWithMalformedJson"
"Transfer Different Partner Reference, Special Transfer to Manual Transfer","19889","trfPartnerRefManualFailed","Surefire suite","Thu Aug 27 05:16:48 UTC 2026","passed","Thu Aug 27 05:17:08 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefManualFailed"
"Mutasi Manual Transfer Balance CS","31069","mutasiManualTransferBalanceCS","Surefire suite","Thu Aug 27 05:50:55 UTC 2026","passed","Thu Aug 27 05:51:26 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferBalanceCS"
"Add Whitelist Ip User CS Admin","7443","addWhitelistIpUserCsAdmin","Surefire suite","Thu Aug 27 06:10:42 UTC 2026","passed","Thu Aug 27 06:10:50 UTC 2026","testcases.backoffice.EditUserTest","Surefire test","testcases.backoffice.EditUserTest","addWhitelistIpUserCsAdmin"
