"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Normal Flop Supervisor Transfer Success","21805","flopTransferSupervisor","Surefire suite","Tue Aug 04 07:48:52 UTC 2026","failed","Tue Aug 04 07:49:14 UTC 2026","testcases.transfer.TransferFlopTest","Surefire test","testcases.transfer.TransferFlopTest","flopTransferSupervisor"
"Get History USDT Transfer Test CS","11461","historyUSDTTransferTestCS","Surefire suite","Tue Aug 04 07:21:12 UTC 2026","passed","Tue Aug 04 07:21:24 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestCS"
"Get History QR Supervisor","9795","historyQRTestSupervisor","Surefire suite","Tue Aug 04 07:04:16 UTC 2026","passed","Tue Aug 04 07:04:26 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestSupervisor"
"Normal Flop Transfer Success","7948","transfer","Surefire suite","Tue Aug 04 07:49:17 UTC 2026","passed","Tue Aug 04 07:49:25 UTC 2026","testcases.transfer.TransferFlopTest","Surefire test","testcases.transfer.TransferFlopTest","transfer"
"Generate QR Success with Fee Admin","32265","generateQRBalanceFeeAdmin","Surefire suite","Tue Aug 04 07:50:16 UTC 2026","passed","Tue Aug 04 07:50:49 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRBalanceFeeAdmin"
"Mutasi Special Transfer Supervisor","96885","mutasiSpecialTransferSupervisor","Surefire suite","Tue Aug 04 08:24:48 UTC 2026","failed","Tue Aug 04 08:26:25 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferSupervisor"
"Transfer Different Partner Reference, USDT Transfer to Transfer","6062","trfPartnerRefUSDTFailed","Surefire suite","Tue Aug 04 07:29:42 UTC 2026","passed","Tue Aug 04 07:29:48 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefUSDTFailed"
"Get History Transfer Supervisor on Login CS Admin","23327","historyTransferSupervisorTestCSAdmin","Surefire suite","Tue Aug 04 07:18:39 UTC 2026","passed","Tue Aug 04 07:19:03 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyTransferSupervisorTestCSAdmin"
"Get History Special Transfer Merchant on Login CS Admin","11431","historySpecialTransferMerchantTestCSAdmin","Surefire suite","Tue Aug 04 07:12:58 UTC 2026","passed","Tue Aug 04 07:13:10 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferMerchantTestCSAdmin"
"Success Assignment Cash Deposit","25236","assignCashDepositTest","Surefire suite","Tue Aug 04 08:11:43 UTC 2026","passed","Tue Aug 04 08:12:08 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignCashDepositTest"
"Normal Transfer USDT Balance Success","10307","transferBalance","Surefire suite","Tue Aug 04 07:44:25 UTC 2026","passed","Tue Aug 04 07:44:35 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transferBalance"
"Transfer Different Partner Reference, Special Transfer to Manual Transfer","6411","trfPartnerRefManualFailed","Surefire suite","Tue Aug 04 07:40:32 UTC 2026","passed","Tue Aug 04 07:40:39 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefManualFailed"
"Transfer Different Partner Reference, Transfer to USDT Transfer","79758","trfPartnerRefTransferFailed","Surefire suite","Tue Aug 04 07:45:18 UTC 2026","passed","Tue Aug 04 07:46:38 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefTransferFailed"
"Get History QR Paid Merchant on login CS Admin","12103","historyQRPaidMerchantCSAdmin","Surefire suite","Tue Aug 04 07:02:58 UTC 2026","passed","Tue Aug 04 07:03:10 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRPaidMerchantCSAdmin"
"Success Login Supervisor With Captcha","3395","testLoginSupervisor","Surefire suite","Tue Aug 04 07:01:25 UTC 2026","passed","Tue Aug 04 07:01:29 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Normal Transfer USDT Supervisor Success","6595","usdtTransferSupervisor","Surefire suite","Tue Aug 04 07:46:41 UTC 2026","passed","Tue Aug 04 07:46:48 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","usdtTransferSupervisor"
"Test Approve Manual Transfer Supervisor dengan check Fee di Admin Crypto dan Admin Fee","52811","approvedCashDepositBalanceSupervisor","Surefire suite","Tue Aug 04 07:57:13 UTC 2026","passed","Tue Aug 04 07:58:06 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositBalanceSupervisor"
"Get Balance Merchant with Login Marketing","4641","getFailedBalanceMerchantLoginMarketing","Surefire suite","Tue Aug 04 07:53:46 UTC 2026","passed","Tue Aug 04 07:53:50 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginMarketing"
"Get History Special Transfer Test","20418","historySpecialTransferTest","Surefire suite","Tue Aug 04 07:14:41 UTC 2026","passed","Tue Aug 04 07:15:01 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTest"
"Mutasi Special Transfer CS","32514","mutasiSpecialTransferCS","Surefire suite","Tue Aug 04 08:24:13 UTC 2026","passed","Tue Aug 04 08:24:45 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferCS"
"Success Assignment USDT Supervisor","12668","assignUSDTSupervisorTest","Surefire suite","Tue Aug 04 08:12:11 UTC 2026","passed","Tue Aug 04 08:12:24 UTC 2026","testcases.backoffice.TransferAssignmentTest","Surefire test","testcases.backoffice.TransferAssignmentTest","assignUSDTSupervisorTest"
"Test Get Report Transaction Merchant","4878","getReportTransactionMerchant","Surefire suite","Tue Aug 04 08:35:17 UTC 2026","passed","Tue Aug 04 08:35:22 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportTransactionMerchant"
"Test Get Report Transaction CS","8019","getReportTransactionCS","Surefire suite","Tue Aug 04 08:35:06 UTC 2026","passed","Tue Aug 04 08:35:14 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportTransactionCS"
"Test Approved USDT Tanpa URL","17119","approvedUSDTwithoutURL","Surefire suite","Tue Aug 04 08:04:01 UTC 2026","passed","Tue Aug 04 08:04:18 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTwithoutURL"
"Transfer Different Partner Reference, Transfer to Manual Transfer","79435","trfPartnerRefTransferFailed","Surefire suite","Tue Aug 04 07:40:42 UTC 2026","passed","Tue Aug 04 07:42:01 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","trfPartnerRefTransferFailed"
"Success Login Marketing","3277","testLoginMarketing","Surefire suite","Tue Aug 04 07:01:19 UTC 2026","passed","Tue Aug 04 07:01:22 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Get Balance Merchant with Login Admin Crypto","4642","getFailedBalanceMerchantLoginAdminCrypto","Surefire suite","Tue Aug 04 07:53:38 UTC 2026","passed","Tue Aug 04 07:53:43 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginAdminCrypto"
"Transfer Different Parner Reference Supervisor, Manual Transfer to Transfer","80310","trfPartnerRefManualSpvFailed","Surefire suite","Tue Aug 04 07:26:33 UTC 2026","passed","Tue Aug 04 07:27:54 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualSpvFailed"
"Get History QR Supervisor Success Paid","11412","historyQRTestPaidSupervisor","Surefire suite","Tue Aug 04 07:04:01 UTC 2026","passed","Tue Aug 04 07:04:13 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaidSupervisor"
"","5080","generateQRCode","Surefire suite","Tue Aug 04 07:22:31 UTC 2026","passed","Tue Aug 04 07:22:36 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCode"
"Get History Manual Transfer Merchant on Login CS Admin","23580","historyManualTransferMerchantTestCSAdmin","Surefire suite","Tue Aug 04 07:07:32 UTC 2026","passed","Tue Aug 04 07:07:56 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferMerchantTestCSAdmin"
"Inquiry Test USDT Transfer Merchant Supervisor","4771","inquiryUSDTSupervisor","Surefire suite","Tue Aug 04 07:43:20 UTC 2026","passed","Tue Aug 04 07:43:25 UTC 2026","testcases.transfer.InquiryUSDTTest","Surefire test","testcases.transfer.InquiryUSDTTest","inquiryUSDTSupervisor"
"Transfer Different Partner Reference, Manual Transfer to Transfer","6327","trfPartnerRefManualFailed","Surefire suite","Tue Aug 04 07:26:24 UTC 2026","passed","Tue Aug 04 07:26:30 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualFailed"
"Get History Manual Transfer Test Supervisor","82100","historyManualTransferTestSupervisor","Surefire suite","Tue Aug 04 07:11:33 UTC 2026","passed","Tue Aug 04 07:12:55 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestSupervisor"
"Mutasi Transfer Balance CS","24468","mutasiTransferBalanceCS","Surefire suite","Tue Aug 04 08:28:31 UTC 2026","passed","Tue Aug 04 08:28:56 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalanceCS"
"Mutasi Transfer Balance","21363","mutasiTransferBalance","Surefire suite","Tue Aug 04 08:28:07 UTC 2026","passed","Tue Aug 04 08:28:28 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferBalance"
"Mutasi USDT Transfer Balance CS","30840","mutasiUSDTTransferBalanceCS","Surefire suite","Tue Aug 04 08:32:08 UTC 2026","passed","Tue Aug 04 08:32:39 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferBalanceCS"
"Mutasi Manual Transfer Supervisor","26667","mutasiManualTransferSupervisor","Surefire suite","Tue Aug 04 08:17:29 UTC 2026","passed","Tue Aug 04 08:17:55 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferSupervisor"
"Get History Manual Transfer Supervisor on Login CS Admin","85482","historyManualTransferSupervisorTestCSAdmin","Surefire suite","Tue Aug 04 07:07:59 UTC 2026","passed","Tue Aug 04 07:09:24 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferSupervisorTestCSAdmin"
"Add Merchant From Backoffice","8144","addCompanyBackoffice","Surefire suite","Tue Aug 04 08:36:49 UTC 2026","failed","Tue Aug 04 08:36:57 UTC 2026","testcases.backoffice.AddCompanyTest","Surefire test","testcases.backoffice.AddCompanyTest","addCompanyBackoffice"
"Get History QR CS","9890","historyQRTestCS","Surefire suite","Tue Aug 04 07:03:23 UTC 2026","passed","Tue Aug 04 07:03:33 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestCS"
"Normal Special Transfer Success","21819","transfer","Surefire suite","Tue Aug 04 07:32:20 UTC 2026","passed","Tue Aug 04 07:32:42 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","transfer"
"Get History USDT Transfer Test Admin","11231","historyUSDTTransferTestAdmin","Surefire suite","Tue Aug 04 07:20:58 UTC 2026","passed","Tue Aug 04 07:21:09 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestAdmin"
"Get Balance Merchant with Login Admin Crypto","5040","getBalanceAdminLoginAdminCrypto","Surefire suite","Tue Aug 04 07:52:43 UTC 2026","passed","Tue Aug 04 07:52:48 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceAdminLoginAdminCrypto"
