"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Balance Admin Crypto Transfer","5058","getBalanceAdminCrypto","Surefire suite","Tue Aug 18 06:15:01 UTC 2026","passed","Tue Aug 18 06:15:06 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceAdminCrypto"
"Normal Transfer USDT Success","9829","transfer","Surefire suite","Tue Aug 18 06:04:12 UTC 2026","passed","Tue Aug 18 06:04:22 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transfer"
"Success Login Group","3298","testLoginGroup","Surefire suite","Tue Aug 18 05:34:16 UTC 2026","passed","Tue Aug 18 05:34:20 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginGroup"
"Inquiry Test Manual Transfer Merchant Supervisor","5187","inquiryManualTransferSupervisor","Surefire suite","Tue Aug 18 05:57:48 UTC 2026","passed","Tue Aug 18 05:57:53 UTC 2026","testcases.transfer.InquiryManualTransferTest","Surefire test","testcases.transfer.InquiryManualTransferTest","inquiryManualTransferSupervisor"
"Normal Transfer with Account Supervisor","7681","transferSupervisor","Surefire suite","Tue Aug 18 05:49:59 UTC 2026","passed","Tue Aug 18 05:50:06 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferSupervisor"
"Inquiry Test Transfer Merchant","8600","inquiryTransfer","Surefire suite","Tue Aug 18 05:48:18 UTC 2026","passed","Tue Aug 18 05:48:26 UTC 2026","testcases.transfer.InquiryTransferTest","Surefire test","testcases.transfer.InquiryTransferTest","inquiryTransfer"
"","7587","listCashDeposit","Surefire suite","Tue Aug 18 06:26:41 UTC 2026","passed","Tue Aug 18 06:26:49 UTC 2026","testcases.backoffice.ListTransferTest","Surefire test","testcases.backoffice.ListTransferTest","listCashDeposit"
"Mutasi USDT Transfer Supervisor","26855","mutasiUSDTTransferSupervisor","Surefire suite","Tue Aug 18 06:43:33 UTC 2026","passed","Tue Aug 18 06:44:00 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferSupervisor"
"Mutasi Special Transfer Balance Supervisor CS","25597","mutasiSpecialTransferBalanceSupervisorCS","Surefire suite","Tue Aug 18 06:37:20 UTC 2026","passed","Tue Aug 18 06:37:46 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiSpecialTransferBalanceSupervisorCS"
"Mutasi Transfer Supervisor Balance","10220","mutasiTransferSupervisorBalance","Surefire suite","Tue Aug 18 06:40:07 UTC 2026","passed","Tue Aug 18 06:40:18 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisorBalance"
"Success Login Admin Crypto","3443","testLoginAdminCrypto","Surefire suite","Tue Aug 18 05:33:51 UTC 2026","passed","Tue Aug 18 05:33:54 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdminCrypto"
"Normal Transfer Success","11489","transfer","Surefire suite","Tue Aug 18 05:49:31 UTC 2026","passed","Tue Aug 18 05:49:42 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transfer"
