"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","GarudaPay API","0","Authentication","8","0","Login","0"
"0","GarudaPay API","0","History","4","0","Qris","0"
"0","GarudaPay API","2","Balance","1","0","Get Balance QRIS","0"
"0","GarudaPay API","5","History","6","1","Transfer","0"
"0","GarudaPay API","1","Transfer","5","0","Special Transfer","0"
"2","GarudaPay API","0","Transaction","6","0","QRIS","0"
"0","GarudaPay API","4","Transfer","6","0","Transfer","0"
"1","GarudaPay API","3","Backoffice","4","1","Approval Test","0"
"0","GarudaPay API","0","Balance","3","0","Get Balance Transfer","0"
"0","GarudaPay API","0","Backoffice","2","0","Assignment Test","0"
"0","GarudaPay API","1","Transfer","5","0","Manual Transfer","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry Special Transfer","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry Manual Transfer","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry USDT","0"
"0","GarudaPay API","0","Transfer","7","0","USDT Transfer","0"
"0","GarudaPay API","0","Backoffice","2","0","List Settlement USDT","0"
"0","GarudaPay API","0","Transfer","1","0","Inquiry Transfer","0"
