"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Success Login Customer Service","3270","testLoginCS","Surefire suite","Wed Jul 08 03:59:36 UTC 2026","passed","Wed Jul 08 03:59:39 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginCS"
"Success Login Merchant","3266","testLoginWithCaptcha","Surefire suite","Wed Jul 08 03:59:55 UTC 2026","passed","Wed Jul 08 03:59:58 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWithCaptcha"
"Success Login Merchant","5585","testLoginAdmin","Surefire suite","Wed Jul 08 03:59:15 UTC 2026","passed","Wed Jul 08 03:59:20 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdmin"
"Success Login Backoffice","3212","testLoginBackoffice","Surefire suite","Wed Jul 08 03:59:30 UTC 2026","passed","Wed Jul 08 03:59:33 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginBackoffice"
"Success Login Marketing","3190","testLoginMarketing","Surefire suite","Wed Jul 08 03:59:42 UTC 2026","passed","Wed Jul 08 03:59:45 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Wrong Password Login Merchant","3311","testLoginWrongPassword","Surefire suite","Wed Jul 08 04:00:01 UTC 2026","passed","Wed Jul 08 04:00:04 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"Success Login Supervisor With Captcha","3130","testLoginSupervisor","Surefire suite","Wed Jul 08 03:59:48 UTC 2026","passed","Wed Jul 08 03:59:52 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginSupervisor"
"Success Login Admin Crypto","3457","testLoginAdminCrypto","Surefire suite","Wed Jul 08 03:59:23 UTC 2026","passed","Wed Jul 08 03:59:27 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginAdminCrypto"
