"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12274","historySpecialTransferTestCS","Surefire suite","Wed Jul 22 10:42:27 UTC 2026","passed","Wed Jul 22 10:42:40 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historySpecialTransferTestCS"
"Generate QR Success with before and after Balance","11988","generateQRTestPaidBalance","Surefire suite","Wed Jul 22 11:06:05 UTC 2026","passed","Wed Jul 22 11:06:17 UTC 2026","testcases.QR.GenerateQRPaidTest","Surefire test","testcases.QR.GenerateQRPaidTest","generateQRTestPaidBalance"
"Test Approved USDT Supervisor Tanpa URL","17566","approvedUSDTSupervisorWithoutURL","Surefire suite","Wed Jul 22 11:16:25 UTC 2026","passed","Wed Jul 22 11:16:42 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedUSDTSupervisorWithoutURL"
"Mutasi Transfer CS","12120","mutasiTransferCS","Surefire suite","Wed Jul 22 11:32:48 UTC 2026","passed","Wed Jul 22 11:33:00 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferCS"
"","6689","usdtTransferSupervisor","Surefire suite","Wed Jul 22 11:01:59 UTC 2026","passed","Wed Jul 22 11:02:06 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","usdtTransferSupervisor"
"Test Settlement USDT dengan check Fee di Admin Crypto dan Admin Fee","47335","settlementUSDT","Surefire suite","Wed Jul 22 11:20:02 UTC 2026","passed","Wed Jul 22 11:20:49 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","settlementUSDT"
"Normal Transfer with Account Supervisor","8133","transferSupervisor","Surefire suite","Wed Jul 22 10:49:01 UTC 2026","passed","Wed Jul 22 10:49:09 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","transferSupervisor"
"","8431","inquiryTransfer","Surefire suite","Wed Jul 22 10:47:33 UTC 2026","passed","Wed Jul 22 10:47:41 UTC 2026","testcases.transfer.InquiryTransferTest","Surefire test","testcases.transfer.InquiryTransferTest","inquiryTransfer"
"Success Login Marketing","3186","testLoginMarketing","Surefire suite","Wed Jul 22 10:35:07 UTC 2026","passed","Wed Jul 22 10:35:10 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginMarketing"
"Test Approve Manual Transfer dengan check Fee di Admin Crypto dan Admin Fee","42780","approvedCashDepositBalance","Surefire suite","Wed Jul 22 11:10:16 UTC 2026","passed","Wed Jul 22 11:10:59 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","approvedCashDepositBalance"
